"表07 青年勞工初次
",,,,,,,,"就業時的起薪
中部地區," 1,041 ", 100.00 , 14.18 , 19.62 , 29.23 , 17.49 ,, 11.28 , 4.30 , 2.06 , 0.98 , 0.86 ," 23,311 "
南部地區, 938 , 100.00 , 15.05 , 21.23 , 32.04 , 15.42 ,, 9.22 , 3.06 , 3.15 , 0.27 , 0.57 ," 22,458 "
東部地區, 337 , 100.00 , 18.12 , 22.66 , 27.50 , 14.66 ,, 9.17 , 4.75 , 1.84 , 0.79 , 0.51 ," 22,347 "
規模,,,,,,,,,,,,,
29人以下," 1,297 ", 100.00 , 15.01 , 21.23 , 29.94 , 20.84 ,, 8.61 , 2.16 , 1.47 , 0.30 , 0.44 ," 22,150 "
30-49人, 529 , 100.00 , 14.33 , 17.41 , 28.74 , 21.57 ,, 11.26 , 4.29 , 1.89 , 0.11 , 0.39 ," 23,069 "
50-199人, 861 , 100.00 , 14.15 , 15.06 , 31.33 , 19.86 ,, 10.65 , 4.11 , 2.20 , 1.14 , 1.50 ," 23,584 "
200-499人, 586 , 100.00 , 10.95 , 14.60 , 29.51 , 21.20 ,, 14.32 , 4.90 , 3.29 , 0.18 , 1.06 ," 24,423 "
500人以上, 791 , 100.00 , 16.33 , 8.94 , 20.74 , 18.67 ,, 13.16 , 8.23 , 7.93 , 2.38 , 3.62 ," 26,626 "
總工作年資,,,,,,,,,,,,,
未滿1年, 467 , 100.00 , 22.12 , 13.01 , 22.74 , 22.13 ,, 9.68 , 4.52 , 2.98 , 1.10 , 1.73 ," 22,866 "
1年-未滿3年," 1,282 ", 100.00 , 15.90 , 11.73 , 27.79 , 20.50 ,, 11.02 , 4.97 , 4.84 , 1.49 , 1.77 ," 24,334 "
3年-未滿6年," 1,366 ", 100.00 , 10.65 , 15.85 , 29.00 , 19.90 ,, 13.34 , 5.75 , 3.08 , 0.58 , 1.86 ," 24,732 "
6年-未滿10年, 773 , 100.00 , 12.31 , 23.20 , 28.53 , 19.07 ,, 9.67 , 2.65 , 3.00 , 0.82 , 0.75 ," 23,411 "
10年及以上, 176 , 100.00 , 13.81 , 33.66 , 27.45 , 13.87 ,, 5.11 , 2.70 , 2.60 , 0.16 , 0.64 ," 21,902 "
勞工工作型態,,,,,,,,,,,,,
全日工時," 3,665 ", 100.00 , 8.07 , 16.00 , 29.04 , 22.35 ,, 12.25 , 5.21 , 4.12 , 1.15 , 1.81 ," 25,279 "
部份工時, 399 , 100.00 , 56.10 , 13.62 , 17.44 , 6.52 ,, 3.72 , 1.39 , 0.80 , 0.19 , 0.22 ," 15,976 "
勞動契約性質,,,,,,,,,,,,,
定期勞動契約, 754 , 100.00 , 19.61 , 13.89 , 25.86 , 16.37 ,, 12.12 , 5.75 , 4.15 , 1.19 , 1.06 ," 23,465 "
不定期勞動契約," 3,265 ", 100.00 , 13.94 , 16.07 , 27.49 , 20.79 ,, 10.90 , 4.49 , 3.62 , 0.99 , 1.72 ," 24,095 "
未約定, 45 , 100.00 , 3.59 , 12.06 , 45.41 , 28.18 ,, 7.89 , 2.88 , - , - , - ," 23,446 "
勞工工作性質,,,,,,,,,,,,,
一般僱用," 3,923 ", 100.00 , 14.65 , 15.93 , 27.09 , 20.08 ,, 11.17 , 4.61 , 3.77 , 1.05 , 1.65 ," 24,039 "
承攬, 39 , 100.00 , 8.94 , 15.28 , 35.98 , 16.24 ,, 14.28 , 9.07 , - , - , 0.22 ," 23,761 "
派遣人力, 102 , 100.00 , 20.01 , 6.34 , 36.74 , 23.57 ,, 6.39 , 6.03 , 0.88 , - , 0.04 ," 22,141 "
