年份,編號,中文名稱,英文名稱,侵臺路徑分類,警報期間,近臺強度,生命期近中心最低氣壓(hPa),近臺近中心最大風速(m/s),近臺7級風暴風半徑,近臺10級風暴風半徑,警報發布報數
2003,200309,莫拉克,MORAKOT,4,"2003-08-02 17:30
2003-08-04 23:30",輕度,990,23,100,---,19
2003,200307,尹布都,IMBUDO,---,"2003-07-21 20:30
2003-07-23 14:30",中度,935,48,300,120,15
2003,200306,蘇迪勒,SOUDELOR,---,"2003-06-16 15:30
2003-06-18 17:30",中度,960,38,200,50,18
2003,200305,南卡,NANGKA,---,"2003-06-01 20:30
2003-06-03 02:30",輕度,990,23,100,---,11
2003,200302,柯吉拉,KUJIRA,---,"2003-04-21 05:30
2003-04-24 20:30",中度,925,43,250,100,30
2002,200216,辛樂克,SINLAKU,1,"2002-09-04 05:15
2002-09-08 05:50",中度,950,40,300,100,33
2002,200208,娜克莉,NAKRI,9,"2002-07-09 05:50
2002-07-10 23:05",輕度,987,18,80,---,15
2002,200205,雷馬遜,RAMMASUN,---,"2002-07-02 14:45
2002-07-04 17:25",中度,950,45,300,100,18
2001,200121,海燕,HAIYAN,---,"2001-10-15 08:15
2001-10-16 23:15",中度,965,35,250,100,14
2001,200119,利奇馬,LEKIMA,4,"2001-09-23 20:30
2001-09-28 09:10",中度,965,35,180,50,37
2001,200116,納莉,NARI,特殊,"2001-09-08 23:50
2001-09-10 09:00",中度,960,40,150,50,12
,,,,,"2001-09-13 15:00
2001-09-19 23:05",中度,960,40,150,50,52
2001,200108,桃芝,TORAJI,3,"2001-07-28 05:25
2001-07-31 14:35",中度,962,38,250,100,28
2001,200107,玉兔,YUTU,---,"2001-07-23 20:10
2001-07-24 17:20",輕度,962,30,150,---,8
2001,200105,潭美,TRAMI,4,"2001-07-10 09:40
2001-07-11 21:00",輕度,995,20,80,---,13
2001,200104,尤特,UTOR,5,"2001-07-03 14:45
2001-07-05 23:10",中度,960,38,350,120,20
2001,200102,奇比,CHEBI,7,"2001-06-22 03:00
2001-06-24 08:20",中度,965,35,200,80,19
2001,200101,西馬隆,CIMARON,8,"2001-05-11 11:15
2001-05-13 20:05",輕度,990,23,150,---,20
2000,200021,貝碧佳,BEBINCA,---,"2000-11-06 10:15
2000-11-07 08:55",輕度,970,28,200,---,9
2000,200020,象神,XANGSANE,6,"2000-10-30 20:15
2000-11-01 20:05",中度,960,38,250,100,17
2000,200019,雅吉,YAGI,---,"2000-10-23 20:20
2000-10-26 08:50",中度,970,33,180,50,21
2000,200015,寶發,BOPHA,特殊,"2000-09-08 15:15
2000-09-10 15:00",輕度,990,23,180,---,17
2000,200012,巴比侖,PRAPIROON,6,"2000-08-27 20:45
2000-08-30 14:20",中度,965,33,250,---,23
2000,200010,碧利斯,BILIS,3,"2000-08-21 08:25
2000-08-23 20:05",強烈,930,53,300,120,21
2000,200004,啟德,KAI-TAK,6,"2000-07-06 11:43
2000-07-10 03:00",中度,965,35,150,50,30
1999,199920,丹恩,DAN,7,"1999-10-04 14:15
1999-10-09 20:10",中度,968,38,250,80,43
1999,199911,山姆,SAM,---,"1999-08-19 20:15
1999-08-21 23:26",輕度,970,30,200,---,18
1999,199906,瑪姬,MAGGIE,5,"1999-06-04 14:30
1999-06-06 22:24",中度,965,38,250,100,20
1998,199812,芭比絲,BABS,9,"1998-10-25 20:40
1998-10-27 23:05",中度,950,35,250,100,18
1998,199810,瑞伯,ZEB,6,"1998-10-13 14:20
1998-10-17 06:45",強烈,920,55,350,150,30
1998,199809,楊妮,YANNI,6,"1998-09-27 23:30
1998-09-29 14:45",輕度,975,25,100,---,14
1998,199802,奧托,OTTO,3,"1998-08-03 09:45
1998-08-05 09:00",輕度,985,30,150,---,17
1998,199801,妮蔻兒,NICHOLE,9,"1998-07-09 05:55
1998-07-10 09:45",輕度,998,18,100,---,10
1997,199726,艾文,IVAN,---,"1997-10-19 20:25
1997-10-21 17:10",強烈,905,55,250,100,16
1997,199719,卡絲,CASS,---,"1997-08-29 23:40
1997-08-30 20:20",輕度,995,20,100,---,8
1997,199717,安珀,AMBER,3,"1997-08-27 08:35
1997-08-30 02:35",中度,945,48,250,100,23
1997,199714,溫妮,WINNIE,1,"1997-08-16 14:35
1997-08-19 03:00",中度,905,43,300,100,21
1996,199623,薩恩,ZANE,---,"1996-09-27 14:55
1996-09-28 20:25",中度,955,43,200,80,11
1996,199620,魏萊特,VIOLET,---,"1996-09-15 20:30
1996-09-16 21:00",強烈,940,51,300,120,9
1996,199618,莎莉,SALLY,---,"1996-09-07 09:00
1996-09-08 17:45",中度,950,48,250,80,12
1996,199612,麗莎,LISA,---,"1996-08-06 16:40
1996-08-07 05:40",輕度,993,20,100,---,6
1996,199608,賀伯,HERB,2,"1996-07-29 11:30
1996-08-01 23:20",強烈,920,53,350,150,29
1996,199607,葛樂禮,GLORIA,7,"1996-07-24 11:45
1996-07-27 15:30",中度,965,35,250,80,26
1996,199603,凱姆,CAM,8,"1996-05-20 21:35
1996-05-23 18:00",輕度,995,20,150,---,24
1995,199515,賴恩,RYAN,8,"1995-09-20 17:05
1995-09-23 12:15",中度,955,45,300,100,23
1995,199509,肯特,KENT,5,"1995-08-27 17:10
1995-08-31 14:45",中度,955,45,200,100,32
1995,199508,珍妮絲,JANIS,---,"1995-08-23 17:55
1995-08-24 21:25",輕度,990,23,120,---,10
1995,199506,海倫,HELEN,---,"1995-08-09 11:50
1995-08-11 06:15",輕度,980,23,120,---,15
1995,199505,蓋瑞,GARY,7,"1995-07-31 03:55
1995-07-31 20:45",輕度,980,28,150,---,7
1995,199502,荻安娜,DEANNA,9,"1995-06-04 16:30
1995-06-08 14:50",輕度,995,20,120,---,33
1994,199427,席斯,SETH,6,"1994-10-07 14:45
1994-10-11 05:40",強烈,925,51,350,150,30
1994,199416,葛拉絲,GLADYS,2,"1994-08-31 02:35
1994-09-02 02:30",中度,970,35,200,100,18
1994,199415,弗雷特,FRED,1,"1994-08-19 02:35
1994-08-22 05:50",強烈,935,55,350,150,26
1994,199413,道格,DOUG,6,"1994-08-06 09:10
1994-08-09 06:15",強烈,930,58,350,150,24
1994,199412,凱特琳,CAITLIN,3,"1994-08-03 06:15
1994-08-04 14:30",輕度,987,25,120,---,12
