表3 青年勞工每週,,,,,,,工作時數,,,,,
,,,,, 中華民國 ,, 105年10月 ,,,, 單位：人，％，天，小時 ,
項目別,樣本數,合計,未滿30小時,"30~未滿
35小時","35~未滿
40小時",,"40~未滿
41小時","41~未滿
42小時","42~未滿
44小時","44小時
及以上","平均每週
工作天數","平均每日
工作時數"
,,,,,,,,,,,,
1~未滿3年," 1,405 ", 100.00 , 8.09 , 3.19 , 4.15 ,, 68.58 , 0.15 , 2.33 , 13.51 , 4.98 , 7.84 
3~未滿6年," 1,566 ", 100.00 , 2.94 , 2.20 , 3.47 ,, 73.57 , 0.01 , 1.57 , 16.24 , 5.05 , 8.02 
6~未滿10年, 515 , 100.00 , 1.27 , 1.01 , 4.49 ,, 72.58 , -   , 1.23 , 19.41 , 5.08 , 8.15 
10年及以上, 70 , 100.00 , 1.65 , -   , 0.02 ,, 71.09 , -   , 3.23 , 24.00 , 5.20 , 8.14 
每月收入,,,,,,,,,,,,
未滿2萬元, 190 , 100.00 , 64.33 , 20.32 , 5.32 ,, 9.16 , 0.68 , -   , 0.19 , 4.24 , 5.81 
2萬~未滿2萬5千元, 784 , 100.00 , 5.74 , 2.44 , 5.68 ,, 68.14 , 0.03 , 1.69 , 16.29 , 5.07 , 7.85 
2萬5千元~未滿3萬元," 1,133 ", 100.00 , 0.59 , 1.26 , 4.04 ,, 74.20 , 0.02 , 2.24 , 17.65 , 5.09 , 8.08 
3萬~未滿3萬5千元, 982 , 100.00 , 0.84 , 1.07 , 2.95 ,, 78.87 , -   , 2.00 , 14.26 , 5.05 , 8.12 
3萬5千元~未滿4萬元, 462 , 100.00 , 0.42 , 0.43 , 1.27 ,, 79.56 , -   , 1.55 , 16.77 , 5.07 , 8.16 
4萬~未滿4萬5千元, 268 , 100.00 , 0.66 , 1.01 , 2.38 ,, 78.79 , -   , 3.37 , 13.80 , 5.06 , 8.10 
4萬5千元~未滿5萬元, 116 , 100.00 , 0.80 , -   , 2.09 ,, 79.92 , -   , 1.91 , 15.28 , 5.06 , 8.14 
5萬元以上, 112 , 100.00 , -   , 1.81 , 5.22 ,, 74.12 , -   , 0.87 , 17.98 , 5.04 , 8.14 
勞工工作型態,,,,,,,,,,,,
全日工時," 3,721 ", 100.00 , -   , -   , 3.33 ,, 77.59 , 0.07 , 2.11 , 16.91 , 5.10 , 8.15 
部分工時, 326 , 100.00 , 54.25 , 23.21 , 7.08 ,, 15.47 , -   , -   , -   , 4.35 , 5.97 
勞動契約性質,,,,,,,,,,,,
定期勞動契約, 859 , 100.00 , 17.60 , 4.36 , 6.41 ,, 54.58 , 0.24 , 2.85 , 13.96 , 4.87 , 7.56 
不定期勞動契約," 3,188 ", 100.00 , 3.46 , 2.33 , 3.06 ,, 74.39 , 0.01 , 1.59 , 15.15 , 5.04 , 7.98 
勞工工作性質,,,,,,,,,,,,
一般僱用," 3,952 ", 100.00 , 6.38 , 2.72 , 3.79 ,, 70.56 , 0.06 , 1.76 , 14.73 , 5.01 , 7.89 
承攬, 25 , 100.00 , 21.96 , 14.82 , 6.97 ,, 32.69 , -   , 9.86 , 13.70 , 4.36 , 7.57 
派遣人力, 70 , 100.00 , 6.20 , 1.69 , 2.33 ,, 61.78 , -   , 4.53 , 23.47 , 5.16 , 7.96 
