表32、青年勞工初次尋職期間─按性別、年齡、教育程度、工作年資別分,,,,,,,,,,
,,,,中華民國,97年10月,,,,,單位：人，%，月
項    目    別,樣 本 數,合    計,立即就業,1個月內,1~3個月(含),3~6個月(含),6~ 9個月(含),9~12個月(含),1年以上,"平均尋職
期間"
,,,,,,,,,,
,,,,,,,,,,
  未滿1年, 247 , 100.00 , 13.65 , 50.85 , 23.81 , 9.92 , 0.93 , 0.84 , - , 1.36 
  1~未滿3年," 1,340 ", 100.00 , 7.39 , 43.48 , 33.88 , 11.14 , 2.32 , 1.19 , 0.60 , 1.88 
  3~未滿6年," 1,448 ", 100.00 , 8.11 , 45.15 , 32.49 , 9.85 , 2.44 , 1.34 , 0.62 , 1.91 
  6~未滿10年, 766 , 100.00 , 10.12 , 49.86 , 27.17 , 9.58 , 2.53 , 0.37 , 0.36 , 1.65 
  10年及以上, 211 , 100.00 , 13.51 , 55.91 , 23.22 , 5.79 , 0.49 , 0.60 , 0.48 , 1.22 
  每月工作收入別  ,,,,,,,,,,
"  未滿17,280元", 337 , 100.00 , 9.70 , 54.22 , 24.80 , 6.38 , 1.12 , 2.00 , 1.78 , 1.69 
"  17,280 ~未滿2萬元", 309 , 100.00 , 11.20 , 46.48 , 29.30 , 9.02 , 1.74 , 1.44 , 0.82 , 1.78 
  2萬~未滿2萬5千元, 792 , 100.00 , 8.01 , 44.50 , 32.43 , 11.08 , 2.92 , 0.90 , 0.16 , 1.84 
  2萬5千~未滿3萬元," 1,021 ", 100.00 , 8.52 , 45.04 , 31.47 , 11.37 , 2.66 , 0.81 , 0.13 , 1.81 
  3萬~未滿3萬元5千元, 785 , 100.00 , 8.42 , 45.40 , 31.56 , 10.83 , 2.35 , 0.96 , 0.47 , 1.79 
  3萬5千元~未滿4萬元, 357 , 100.00 , 10.59 , 44.27 , 30.26 , 9.95 , 1.69 , 1.61 , 1.62 , 2.05 
  4萬~未滿4萬5千元, 204 , 100.00 , 7.34 , 51.38 , 33.82 , 5.36 , 2.11 , - , - , 1.38 
  4萬5千元~未滿5萬元, 100 , 100.00 , 7.16 , 47.21 , 36.90 , 5.90 , 1.01 , 1.66 , 0.18 , 1.59 
  5萬元以上, 107 , 100.00 , 11.77 , 53.08 , 24.57 , 10.58 , - , - , - , 1.25 
註：1~3個月(含)係指超過1個月至3個月，3~6個月(含)為超過3個月以上至6個月者，餘類推。,,,,,,,,,,
