"","全國實徵淨額日曆年別－按稅目別分"
"","<b>總計</b> ","<b>稅課收入</b> ","關稅 ","所得稅小計 ","營利事業所得稅 ","綜合所得稅 ","遺產及贈與稅 ","遺產稅 ","贈與稅 ","貨物稅 ","證券交易稅 ","期貨交易稅 ","菸酒稅 ","特種貨物及勞務稅 ","營業稅 ","礦區稅 ","土地稅小計 ","田賦 ","地價稅 ","土地增值稅 ","房屋稅 ","使用牌照稅 ","契稅 ","印花稅 ","娛樂稅 ","特別及臨時稅課 ","商港建設費 ","屠宰稅 ","筵席稅 ","教育捐 ","鹽稅 ","防衛捐及臨時稅 ","戶稅 ","<b>公賣利益-應繳庫數</b> ","<b>金融業營業稅</b> "
"67年 4月"," 14,953,359"," 13,335,922","  4,167,232","  1,978,684","          －","          －","     37,890","          －","          －","  2,040,309","     33,799","          －","          －","          －","    930,490","         40","  1,645,689","      5,612","    873,451","    766,626","     16,621","    281,950","    218,900","    539,595","     47,934","          －","    768,299","    194,869","     64,190","    369,431","          －","          －","          －","  1,617,437","          －"
"67年 5月"," 17,876,943"," 16,225,335","  3,978,264","  4,525,825","          －","          －","     48,249","          －","          －","  2,322,455","     68,375","          －","          －","          －","    841,307","        368","  2,072,514","      6,583","  1,243,370","    822,561","     75,747","     55,782","    265,033","    577,285","     45,725","          －","    740,325","    190,993","     63,171","    353,917","          －","          －","          －","  1,651,608","          －"
"67年 6月"," 17,237,200"," 15,602,891","  3,990,518","  1,819,826","          －","          －","     94,911","          －","          －","  2,566,613","     40,288","          －","          －","          －","    852,346","      2,436","  1,359,907","      5,105","    375,308","    979,494","  2,186,879","     42,837","    274,058","    631,270","     47,377","          －","    738,498","    232,860","     65,892","    656,375","          －","          －","          －","  1,634,309","          －"
"67年 7月"," 17,826,642"," 15,963,642","  3,664,667","  4,752,408","  3,908,833","    843,575","     54,615","          －","          －","  2,466,025","     61,617","          －","          －","          －","  1,088,086","        133","  1,428,149","     83,960","    289,736","  1,054,453","    146,829","     35,988","    267,743","    628,687","     47,616","          －","    689,396","    150,433","     61,703","    419,547","          －","          －","          －","  1,863,000","          －"
"67年 8月"," 14,791,343"," 13,034,195","  3,822,050","  1,498,548","  1,074,630","    423,918","     44,869","          －","          －","  2,422,488","     67,846","          －","          －","          －","    888,488","        292","  1,763,335","    324,345","    214,025","  1,224,965","     44,811","     34,092","    267,450","    630,889","     55,431","          －","    826,031","    219,574","     66,941","    381,060","          －","          －","          －","  1,757,148","          －"
"67年 9月"," 15,616,865"," 13,796,205","  3,756,301","  2,787,515","  2,336,631","    450,884","     75,429","          －","          －","  2,301,931","     66,086","          －","          －","          －","    923,480","        184","  1,467,681","    356,593","     53,862","  1,057,226","     22,756","    111,280","    230,656","    633,507","     56,830","          －","    712,368","    208,289","     65,883","    376,029","          －","          －","          －","  1,820,660","          －"
"67年 10月"," 13,970,471"," 12,298,004","  3,648,639","  1,177,799","    366,187","    811,612","     85,775","          －","          －","  2,385,048","     46,169","          －","          －","          －","  1,059,474","        253","  1,561,458","     68,415","    183,789","  1,309,254","     17,628","     69,784","    229,664","    597,249","     55,970","          －","    683,395","    202,473","     69,040","    408,186","          －","          －","          －","  1,672,467","          －"
"67年 11月"," 18,771,738"," 17,099,271","  4,963,990","  1,202,565","    428,636","    773,929","    145,115","          －","          －","  2,649,360","     44,223","          －","          －","          －","    939,151","        529","  4,516,953","      8,428","  3,206,325","  1,302,200","    129,353","     11,886","    238,418","    629,377","     57,279","          －","    875,605","    226,084","     74,212","    395,171","          －","          －","          －","  1,672,467","          －"
"67年 12月"," 19,558,462"," 17,758,973","  4,718,479","  2,451,657","  1,508,548","    943,109","     47,586","          －","          －","  2,748,234","     70,128","          －","          －","          －","    999,172","      2,579","  1,537,068","      4,762","    240,476","  1,291,830","  2,347,980","      7,192","    261,102","    675,859","     54,542","          －","    838,229","    210,189","     73,764","    715,213","          －","          －","          －","  1,799,489","          －"
"68年","239,521,260","216,917,282"," 56,467,111"," 38,907,712"," 23,591,977"," 15,315,735","    957,062","          －","          －"," 36,199,738","    667,464","          －","          －","          －"," 14,348,450","     19,761"," 26,753,478","    906,114"," 10,276,619"," 15,570,745","  6,333,015","  2,292,038","  3,277,188","  8,973,624","    779,889","          －"," 10,727,286","  2,845,098","    943,245","  6,425,123","          －","          －","          －"," 22,603,978","          －"
"68年 1月"," 16,784,712"," 14,773,518","  4,037,680","  2,826,319","  1,619,261","  1,207,058","     78,208","          －","          －","  2,601,845","     37,401","          －","          －","          －","  1,267,168","         88","  1,099,891","      3,562","     55,145","  1,041,184","    144,933","     85,315","    249,755","    745,738","     55,409","          －","    736,837","    235,660","     76,376","    494,895","          －","          －","          －","  2,011,194","          －"
"68年 2月"," 17,170,398"," 15,646,125","  4,929,472","  3,010,291","  1,699,912","  1,310,379","     60,905","          －","          －","  2,601,751","     50,051","          －","          －","          －","  1,006,538","        264","  1,233,755","      3,029","     49,164","  1,181,562","     40,893","    122,040","    249,426","    639,478","     70,362","          －","    910,283","    233,669","     70,860","    416,087","          －","          －","          －","  1,524,273","          －"
"68年 3月"," 20,996,554"," 19,324,087","  4,939,890","  5,280,269","  2,021,739","  3,258,530","    100,396","          －","          －","  3,042,871","     83,869","          －","          －","          －","    920,471","        440","  1,231,005","      3,961","     99,163","  1,127,881","     30,219","  1,276,375","    229,015","    605,142","     61,443","          －","    840,405","    217,669","     75,874","    388,734","          －","          －","          －","  1,672,467","          －"
"68年 4月"," 19,902,466"," 18,166,488","  5,134,399","  3,220,124","  1,391,119","  1,829,005","     45,960","          －","          －","  3,026,147","    132,768","          －","          －","          －","  1,229,323","        589","  2,266,717","      3,805","  1,301,192","    961,720","     27,090","    333,131","    248,729","    715,789","     64,923","          －","    950,901","    222,727","     79,242","    467,929","          －","          －","          －","  1,735,978","          －"
"68年 5月"," 22,679,243"," 20,795,072","  5,091,591","  4,855,624","  3,843,670","  1,011,954","     69,443","          －","          －","  3,139,127","     80,260","          －","          －","          －","  1,113,545","        735","  3,328,191","      2,676","  2,185,051","  1,140,464","    287,350","     60,771","    294,607","    730,929","     61,196","          －","    913,540","    229,387","     79,533","    459,243","          －","          －","          －","  1,884,171","          －"
"68年 6月"," 22,452,326"," 20,689,823","  4,890,075","  2,631,078","  1,616,471","  1,014,607","     75,535","          －","          －","  3,375,881","     37,969","          －","          －","          －","  1,134,037","      7,962","  2,652,438","      3,637","  1,379,001","  1,269,800","  2,532,509","     47,330","    291,212","    789,054","     64,482","          －","    975,131","    285,433","     77,200","    822,497","          －","          －","          －","  1,762,503","          －"
"68年 7月"," 22,213,353"," 20,141,500","  4,848,359","  6,029,299","  4,911,051","  1,118,248","     83,689","          －","          －","  3,285,072","     40,449","          －","          －","          －","  1,418,441","        417","  1,443,467","     83,245","     88,540","  1,271,682","     96,058","     43,196","    323,556","    785,484","     66,443","          －","    896,180","    180,345","     78,418","    522,627","          －","          －","          －","  2,071,853","          －"
