"","全國實徵淨額日曆年別－按稅目別分"
"","<b>總計</b> ","<b>稅課收入</b> ","關稅 ","所得稅小計 ","營利事業所得稅 ","綜合所得稅 ","遺產及贈與稅 ","遺產稅 ","贈與稅 ","貨物稅 ","證券交易稅 ","期貨交易稅 ","菸酒稅 ","特種貨物及勞務稅 ","營業稅 ","礦區稅 ","土地稅小計 ","田賦 ","地價稅 ","土地增值稅 ","房屋稅 ","使用牌照稅 ","契稅 ","印花稅 ","娛樂稅 ","特別及臨時稅課 ","商港建設費 ","屠宰稅 ","筵席稅 ","教育捐 ","鹽稅 ","防衛捐及臨時稅 ","戶稅 ","<b>公賣利益-應繳庫數</b> ","<b>金融業營業稅</b> "
"81年 5月","131,573,739","126,727,849","  7,592,899"," 27,095,989"," 13,966,281"," 13,129,708","  1,211,291","    833,252","    378,039"," 10,258,053","  3,375,082","          －","          －","          －"," 28,918,816","        171"," 22,341,908","        137","    226,869"," 22,114,902"," 18,502,555","  3,519,714","    991,834","    723,872","     57,862","          －","          －","          －","          －","  2,137,803","          －","          －","          －","  4,845,890","          －"
"81年 6月"," 93,467,571"," 85,958,496","  8,593,037"," 23,711,643"," 10,790,444"," 12,921,199","  1,651,794","  1,297,548","    354,246"," 14,214,353","  4,730,184","          －","          －","          －"," -3,280,934","        476"," 24,265,263","        102","    327,316"," 23,937,845","  8,514,385","    480,773","    978,042","    403,812","     57,834","          －","          －","          －","          －","  1,637,834","          －","          －","          －","  7,509,075","          －"
"81年 7月","122,518,514","117,035,285","  8,477,671"," 30,476,925"," 23,983,462","  6,493,463","  1,453,226","    742,948","    710,278"," 10,561,227","  3,272,907","          －","          －","          －"," 32,477,736","      3,607"," 27,453,908","        114","    146,293"," 27,307,501","    361,431","    454,517","  1,038,479","    653,921","     61,849","          －","          －","          －","          －","    287,881","          －","          －","          －","  5,483,229","          －"
"81年 8月"," 62,926,130"," 57,341,772","  7,311,079"," 14,124,821","  8,984,362","  5,140,459","  1,300,132","    882,061","    418,071"," 10,713,879","  2,726,835","          －","          －","          －"," -4,293,272","      2,668"," 23,495,747","         94","     85,627"," 23,410,026","    196,442","    298,146","    944,256","    212,474","     61,735","          －","          －","          －","          －","    246,830","          －","          －","          －","  5,584,358","          －"
"81年 9月"," 94,069,763"," 88,735,449","  7,401,301"," 16,773,766","  9,944,277","  6,829,489","    921,552","    559,670","    361,882"," 10,206,810","  2,137,645","          －","          －","          －"," 30,795,207","         63"," 18,519,512","         67","    156,883"," 18,362,562","    143,231","    276,361","    704,797","    603,162","     61,939","          －","          －","          －","          －","    190,103","          －","          －","          －","  5,334,314","          －"
"81年 10月"," 44,543,673"," 39,255,451","  8,048,574","  7,585,829","    960,173","  6,625,656","  1,046,912","    665,630","    381,282"," 11,761,411","  2,121,241","          －","          －","          －"," -4,468,312","        178"," 11,380,632","         25","     95,190"," 11,285,417","     99,285","    495,410","    739,060","    182,450","     63,295","          －","          －","          －","          －","    199,486","          －","          －","          －","  5,288,222","          －"
"81年 11月"," 81,976,737"," 76,935,940","  8,039,902","  9,036,004","  1,200,234","  7,835,770","    984,810","    741,426","    243,384"," 10,736,897","  1,169,961","          －","          －","          －"," 31,863,227","        169"," 12,792,254","         19","  2,669,015"," 10,123,220","     86,977","    502,633","    747,441","    717,509","     60,837","          －","          －","          －","          －","    197,319","          －","          －","          －","  5,040,797","          －"
"81年 12月"," 72,411,054"," 67,549,354","  8,384,448"," 10,244,104","    643,220","  9,600,884","    751,657","    521,430","    230,227"," 10,610,146","  1,327,362","          －","          －","          －"," -3,725,004","        300"," 38,222,641","         16"," 27,006,482"," 11,216,143","     86,471","    166,201","    984,146","    194,897","     64,647","          －","          －","          －","          －","    237,338","          －","          －","          －","  4,861,700","          －"
"82年","1,074,436,504","1,013,426,722","101,586,982","251,726,582","114,646,134","137,080,448"," 15,324,937"," 10,694,981","  4,629,956","139,018,472"," 27,947,504","          －","          －","          －","182,991,765","     14,022","214,180,478","      1,185"," 35,318,551","178,860,742"," 30,021,926"," 24,610,117"," 12,521,290","  5,804,638","    940,075","          －","          －","          －","          －","  6,737,934","          －","          －","          －"," 61,009,782","          －"
"82年 1月"," 86,630,300"," 81,695,388","  6,738,963"," 15,300,622","  1,025,928"," 14,274,694","    757,940","    449,659","    308,281","  9,633,148","    969,445","          －","          －","          －"," 32,000,389","        792"," 13,717,744","        671","  3,313,298"," 10,403,775","     66,786","    796,444","    754,799","    696,392","     60,382","          －","          －","          －","          －","    201,542","          －","          －","          －","  4,934,912","          －"
"82年 2月"," 61,486,591"," 56,941,063","  7,802,022"," 23,016,099","  8,358,126"," 14,657,973","  1,156,519","    804,198","    352,321"," 10,762,686","  2,368,803","          －","          －","          －"," -3,095,829","      5,659"," 12,832,319","         15","    771,664"," 12,060,640","     59,820","    651,513","    904,042","    167,275","     75,860","          －","          －","          －","          －","    234,275","          －","          －","          －","  4,545,528","          －"
"82年 3月","110,996,815","106,396,572","  9,757,072"," 31,605,721"," 16,188,025"," 15,417,696","  1,012,984","    729,624","    283,360"," 11,875,373","  4,974,918","          －","          －","          －"," 30,624,923","        153"," 13,495,684","          3","    245,176"," 13,250,505","     60,802","    989,923","    986,893","    676,963","     78,461","          －","          －","          －","          －","    256,702","          －","          －","          －","  4,600,243","          －"
"82年 4月"," 84,293,811"," 79,251,608","  9,461,816"," 24,291,012","  9,405,419"," 14,885,593","    883,998","    580,998","    303,000"," 13,293,150","  3,419,420","          －","          －","          －"," -2,967,475","        365"," 14,154,239","          7","    210,359"," 13,943,873","    171,750"," 15,008,969","    983,608","    215,646","     71,020","          －","          －","          －","          －","    264,090","          －","          －","          －","  5,042,203","          －"
"82年 5月","147,525,044","142,147,002","  9,350,859"," 36,875,911"," 19,454,774"," 17,421,137","  1,312,204","    987,781","    324,423"," 12,360,662","  2,190,399","          －","          －","          －"," 33,885,209","        362"," 16,878,597","          8","    285,931"," 16,592,658"," 20,732,771","  4,091,620","  1,050,194","    766,182","     76,155","          －","          －","          －","          －","  2,575,877","          －","          －","          －","  5,378,042","          －"
"82年 6月"," 76,117,754"," 70,101,838","  9,154,597"," 18,287,427","  6,546,889"," 11,740,538","  1,595,689","  1,269,485","    326,204"," 13,983,590","  1,247,719","          －","          －","          －"," -4,124,205","        516"," 19,095,922","         60","    222,359"," 18,873,503","  7,178,129","    737,793","  1,111,634","    395,634","     85,727","          －","          －","          －","          －","  1,351,666","          －","          －","          －","  6,015,916","          －"
"82年 7月","115,685,434","110,352,171","  8,372,326"," 29,276,261"," 27,532,574","  1,743,687","  1,424,080","    988,517","    435,563"," 10,881,197","  1,220,795","          －","          －","          －"," 36,420,372","        774"," 18,821,600","          6","    189,665"," 18,631,929","    971,017","    500,900","  1,196,836","    698,631","     73,681","          －","          －","          －","          －","    493,701","          －","          －","          －","  5,333,263","          －"
"82年 8月"," 66,203,443"," 60,648,183","  8,120,531"," 17,572,189","  8,868,832","  8,703,357","  1,232,917","    736,227","    496,690"," 12,575,957","  1,192,932","          －","          －","          －"," -3,165,947","      4,679"," 20,717,534","         36","    113,702"," 20,603,796","    304,644","    369,191","  1,085,663","    278,541","     85,983","          －","          －","          －","          －","    273,369","          －","          －","          －","  5,555,260","          －"
"82年 9月"," 95,023,921"," 89,750,274","  7,527,178"," 13,536,529","  5,805,238","  7,731,291","  1,669,987","  1,237,500","    432,487"," 10,666,164","    998,828","          －","          －","          －"," 34,521,932","        194"," 18,400,983","          6","    107,321"," 18,293,656","    162,888","    270,197","    943,697","    718,007","     82,740","          －","          －","          －","          －","    250,950","          －","          －","          －","  5,273,647","          －"
"82年 10月"," 58,004,687"," 52,888,421","  7,996,704"," 19,131,410","  9,083,271"," 10,048,139","  1,375,084","    945,266","    429,818"," 11,353,291","  1,531,384","          －","          －","          －"," -3,626,961","        267"," 12,885,858","        133","     77,250"," 12,808,475","    110,667","    514,213","  1,067,177","    200,554","     83,599","          －","          －","          －","          －","    265,174","          －","          －","          －","  5,116,266","          －"
"82年 11月"," 90,194,666"," 85,162,652","  7,797,474"," 10,026,554","    664,287","  9,362,267","  1,554,706","  1,083,319","    471,387"," 11,224,607","  2,222,219","          －","          －","          －"," 36,398,457","         49"," 13,229,810","        237","  2,546,496"," 10,683,077","     86,928","    543,397","  1,006,165","    747,976","     81,517","          －","          －","          －","          －","    242,793","          －","          －","          －","  5,032,014","          －"
"82年 12月"," 82,274,038"," 78,091,550","  9,507,440"," 12,806,847","  1,712,771"," 11,094,076","  1,348,829","    882,407","    466,422"," 10,408,647","  5,610,642","          －","          －","          －"," -3,879,100","        212"," 39,950,188","          3"," 27,235,330"," 12,714,855","    115,724","    135,957","  1,430,582","    242,837","     84,950","          －","          －","          －","          －","    327,795","          －","          －","          －","  4,182,488","          －"
"83年","1,181,520,324","1,116,849,198","107,321,833","281,851,636","124,755,712","157,095,924"," 21,868,862"," 15,762,731","  6,106,131","149,822,066"," 58,352,554","          －","          －","          －","205,005,424","     13,961","200,669,886","         11"," 35,729,018","164,940,857"," 32,412,829"," 27,177,934"," 16,396,654","  6,514,313","  1,058,431","          －","          －","          －","          －","  8,382,815","          －","          －","          －"," 64,671,126","          －"
"83年 1月","114,181,856","108,402,529","  8,872,215"," 25,058,921","  9,324,939"," 15,733,982","  1,392,162","    900,920","    491,242"," 11,221,239","  6,462,326","          －","          －","          －"," 37,278,015","      1,366"," 14,787,680","         -1","  3,419,979"," 11,367,702","     74,898","    815,766","  1,284,451","    798,228","     67,826","          －","          －","          －","          －","    287,436","          －","          －","          －","  5,779,327","          －"
"83年 2月"," 49,368,235"," 45,316,836","  6,986,675"," 13,481,254","    341,273"," 13,139,981","  1,400,224","  1,069,817","    330,407"," 13,039,765","  3,581,087","          －","          －","          －"," -4,321,470","          －","  9,164,658","          －","    767,178","  8,397,480","     44,938","    565,914","    886,707","    200,646","     77,932","          －","          －","          －","          －","    208,506","          －","          －","          －","  4,051,399","          －"
"83年 3月","120,753,419","115,472,815","  9,759,988"," 38,238,217"," 18,587,872"," 19,650,345","  2,023,210","  1,445,404","    577,806"," 10,164,744","  3,631,965","          －","          －","          －"," 35,280,626","      5,251"," 13,001,065","          3","    298,122"," 12,702,940","     65,540","    891,781","  1,273,974","    742,110","     91,595","          －","          －","          －","          －","    302,749","          －","          －","          －","  5,280,604","          －"
"83年 4月"," 86,528,445"," 81,273,028","  9,440,561"," 26,829,903","  9,456,091"," 17,373,812","  1,608,131","  1,165,866","    442,265"," 12,397,617","  4,091,732","          －","          －","          －"," -2,844,183","        220"," 11,305,431","          2","    154,391"," 11,151,038","    184,088"," 16,618,060","  1,057,469","    257,753","     82,185","          －","          －","          －","          －","    244,061","          －","          －","          －","  5,255,417","          －"
"83年 5月","157,452,258","151,865,284","  8,917,432"," 41,267,885"," 19,038,646"," 22,229,239","  2,356,721","  1,687,765","    668,956"," 13,801,840","  4,511,160","          －","          －","          －"," 36,258,804","        182"," 14,433,120","          －","    161,770"," 14,271,350"," 21,375,650","  4,576,563","  1,278,551","    872,219","     86,613","          －","          －","          －","          －","  2,128,544","          －","          －","          －","  5,586,974","          －"
"83年 6月"," 91,810,658"," 83,554,143","  9,642,174"," 18,794,171","  4,860,730"," 13,933,441","  1,906,242","  1,295,787","    610,455"," 16,056,379","  4,367,370","          －","          －","          －"," -2,225,535","        725"," 19,681,210","          1","    200,717"," 19,480,492","  9,205,970","  1,285,259","  1,640,309","    420,093","     87,434","          －","          －","          －","          －","  2,692,342","          －","          －","          －","  8,256,515","          －"
"83年 7月","119,121,247","114,129,462","  9,083,947"," 26,174,286"," 23,574,603","  2,599,683","  1,828,788","  1,366,564","    462,224"," 11,968,780","  6,076,397","          －","          －","          －"," 39,175,104","      2,969"," 15,792,689","          1","    107,628"," 15,685,060","    751,544","    425,693","  1,502,921","    753,611","     88,680","          －","          －","          －","          －","    504,053","          －","          －","          －","  4,991,785","          －"
"83年 8月"," 86,772,346"," 81,037,591","  9,006,862"," 27,827,705"," 20,129,842","  7,697,863","  1,671,206","  1,164,273","    506,933"," 14,927,385","  7,357,021","          －","          －","          －"," -2,270,282","      2,254"," 19,438,262","          3","    287,256"," 19,151,003","    247,334","    412,229","  1,572,658","    300,066","     96,050","          －","          －","          －","          －","    448,841","          －","          －","          －","  5,734,755","          －"
"83年 9月","115,461,878","109,932,489","  8,185,984"," 25,617,145"," 15,442,108"," 10,175,037","  1,836,803","  1,358,324","    478,479"," 10,703,003","  4,669,564","          －","          －","          －"," 37,111,112","        176"," 18,599,290","          －","     98,572"," 18,500,718","    165,992","    315,805","  1,405,613","    839,954","     92,781","          －","          －","          －","          －","    389,267","          －","          －","          －","  5,529,389","          －"
"83年 10月"," 55,038,284"," 50,397,383","  8,205,654"," 13,484,027","  1,938,146"," 11,545,881","  1,815,223","  1,288,368","    526,855"," 11,964,194","  4,926,034","          －","          －","          －"," -3,818,727","        115"," 11,156,484","          －","    112,619"," 11,043,865","    109,969","    503,332","  1,370,670","    218,285","     94,044","          －","          －","          －","          －","    368,079","          －","          －","          －","  4,640,901","          －"
"83年 11月","101,200,533"," 96,326,155","  9,575,400"," 10,932,369","    629,846"," 10,302,523","  2,035,608","  1,561,347","    474,261"," 13,227,309","  2,779,402","          －","          －","          －"," 38,998,813","        333"," 15,176,317","          －","  3,035,523"," 12,140,794","    101,789","    602,587","  1,572,608","    822,429","     96,213","          －","          －","          －","          －","    404,978","          －","          －","          －","  4,874,378","          －"
"83年 12月"," 83,831,165"," 79,141,483","  9,644,941"," 14,145,753","  1,431,616"," 12,714,137","  1,994,544","  1,458,296","    536,248"," 10,349,811","  5,898,496","          －","          －","          －"," -3,616,853","        370"," 38,133,680","          2"," 27,085,263"," 11,048,415","     85,117","    164,945","  1,550,723","    288,919","     97,078","          －","          －","          －","          －","    403,959","          －","          －","          －","  4,689,682","          －"
"84年","1,211,831,526","1,155,200,961","115,680,772","335,784,676","154,890,935","180,893,741"," 23,457,302"," 17,990,522","  5,466,780","159,732,417"," 32,213,452","          －","          －","          －","217,156,596","     11,845","172,254,837","        589"," 42,686,940","129,567,308"," 35,699,467"," 30,505,637"," 17,439,240","  6,903,084","  1,374,095","          －","          －","          －","          －","  6,987,541","          －","          －","          －"," 56,630,565","          －"
"84年 1月","108,041,110","102,052,088","  8,971,382"," 21,170,129","  3,942,537"," 17,227,592","  1,576,983","  1,245,371","    331,612"," 10,157,870","  3,672,935","          －","          －","          －"," 40,186,850","        998"," 12,683,541","          －","  3,529,346","  9,154,195","     66,456","    934,832","  1,280,626","    895,651","    102,993","          －","          －","          －","          －","    350,842","          －","          －","          －","  5,989,022","          －"
"84年 2月"," 68,205,832"," 64,493,528","  7,973,473"," 26,374,875","  9,162,535"," 17,212,340","  1,585,536","  1,283,003","    302,533"," 15,179,670","  2,840,521","          －","          －","          －"," -4,134,602","      3,778"," 12,046,408","          －","  2,952,675","  9,093,733","     56,793","    875,785","  1,097,687","    196,329","    101,493","          －","          －","          －","          －","    295,782","          －","          －","          －","  3,712,304","          －"
"84年 3月","134,311,975","129,083,087"," 11,442,288"," 45,397,327"," 23,003,528"," 22,393,799","  1,662,668","  1,245,038","    417,630"," 12,024,831","  3,039,850","          －","          －","          －"," 38,878,188","        786"," 12,715,606","         -1","    464,395"," 12,251,212","     86,809","    798,929","  1,626,031","    846,486","    123,453","          －","          －","          －","          －","    439,835","          －","          －","          －","  5,228,888","          －"
"84年 4月","103,493,767"," 98,475,850"," 11,503,542"," 38,746,563"," 11,232,455"," 27,514,108","  1,500,970","  1,154,288","    346,682"," 16,520,624","  2,932,552","          －","          －","          －"," -2,519,421","        105","  9,849,807","          －","    110,922","  9,738,885","    223,755"," 17,680,495","  1,316,532","    252,119","    104,114","          －","          －","          －","          －","    364,093","          －","          －","          －","  5,017,917","          －"
"84年 5月","171,211,234","165,719,561"," 10,728,833"," 45,855,144"," 27,229,813"," 18,625,331","  2,068,566","  1,614,354","    454,212"," 14,934,935","  2,611,925","          －","          －","          －"," 40,268,049","        249"," 12,369,716","          4","    196,756"," 12,172,956"," 24,325,106","  6,929,350","  1,557,520","    906,368","    108,876","          －","          －","          －","          －","  3,054,924","          －","          －","          －","  5,491,673","          －"
"84年 6月"," 85,574,625"," 80,066,932"," 11,044,081"," 23,658,537","  9,066,291"," 14,592,246","  1,880,845","  1,490,396","    390,449"," 14,798,864","  2,418,694","          －","          －","          －"," -4,011,634","        375"," 15,653,639","         -4","    280,397"," 15,373,246","  9,650,479","    801,716","  1,762,112","    417,062","    109,554","          －","          －","          －","          －","  1,882,608","          －","          －","          －","  5,507,693","          －"
"84年 7月","133,512,489","129,348,598","  9,688,049"," 44,299,821"," 38,466,324","  5,833,497","  1,795,026","  1,387,001","    408,025"," 14,431,577","  2,733,980","          －","          －","          －"," 42,196,195","        573"," 10,724,595","         58","     81,710"," 10,642,827","    405,596","    449,365","  1,448,716","    792,010","    109,548","          －","          －","          －","          －","    273,547","          －","          －","          －","  4,163,891","          －"
"84年 8月"," 65,132,405"," 59,966,379","  9,864,343"," 19,143,066"," 11,488,244","  7,654,822","  3,163,420","  2,722,107","    441,313"," 12,984,000","  2,447,989","          －","          －","          －"," -3,804,436","      4,405"," 13,334,637","          －","    154,418"," 13,180,219","    287,820","    406,535","  1,603,329","    293,274","    130,550","          －","          －","          －","          －","    107,447","          －","          －","          －","  5,166,026","          －"
"84年 9月","114,716,401","110,082,497","  8,474,959"," 28,542,389"," 16,838,095"," 11,704,294","  1,930,862","  1,313,790","    617,072"," 13,261,735","  2,775,134","          －","          －","          －"," 39,984,421","        165"," 12,151,828","        531","    154,300"," 11,996,997","    211,091","    333,921","  1,323,863","    901,549","    122,517","          －","          －","          －","          －","     68,063","          －","          －","          －","  4,633,904","          －"
"84年 10月"," 53,635,587"," 49,636,087","  8,902,251"," 16,847,684","  3,653,238"," 13,194,446","  1,790,439","  1,334,466","    455,973"," 12,274,434","  2,121,894","          －","          －","          －"," -5,027,269","         42"," 10,249,093","          －","    318,624","  9,930,469","    135,679","    521,987","  1,421,848","    227,070","    120,197","          －","          －","          －","          －","     50,738","          －","          －","          －","  3,999,500","          －"
"84年 11月"," 96,484,272"," 91,777,081","  8,619,105"," 12,690,584","    531,291"," 12,159,293","  2,357,103","  1,671,155","    685,948"," 11,986,475","  1,453,729","          －","          －","          －"," 40,649,817","        115"," 10,702,435","          1","  3,472,503","  7,229,931","    132,859","    603,400","  1,501,291","    900,998","    127,581","          －","          －","          －","          －","     51,589","          －","          －","          －","  4,707,191","          －"
"84年 12月"," 77,511,829"," 74,499,273","  8,468,466"," 13,058,557","    276,584"," 12,781,973","  2,144,884","  1,529,553","    615,331"," 11,177,402","  3,164,249","          －","          －","          －"," -5,509,562","        254"," 39,773,532","          －"," 30,970,894","  8,802,638","    117,024","    169,322","  1,499,685","    274,168","    113,219","          －","          －","          －","          －","     48,073","          －","          －","          －","  3,012,556","          －"
"85年","1,191,385,716","1,132,556,395","100,753,175","340,471,095","141,838,560","198,632,535"," 23,020,186"," 17,087,541","  5,932,645","147,483,780"," 41,447,938","          －","          －","          －","217,522,351","     12,243","157,545,810","         15"," 41,523,591","116,022,204"," 38,982,646"," 36,843,426"," 15,978,685","  6,674,621","  1,359,109","          －","          －","          －","          －","  4,461,330","          －","          －","          －"," 58,829,321","          －"
"85年 1月","118,067,369","113,326,069","  8,593,842"," 31,116,125"," 12,546,372"," 18,569,753","  1,917,434","  1,332,830","    584,604"," 10,395,016","  2,173,387","          －","          －","          －"," 41,095,130","        912"," 14,356,525","          －","  5,651,955","  8,704,570","    106,687","    881,324","  1,570,999","    949,648","    118,734","          －","          －","          －","          －","     50,306","          －","          －","          －","  4,741,300","          －"
"85年 2月"," 49,805,325"," 45,645,428","  8,260,168"," 15,421,260","    713,470"," 14,707,790","  1,781,791","  1,195,525","    586,266"," 13,012,826","  1,010,106","          －","          －","          －"," -4,566,626","      3,598","  8,313,015","          －","    441,895","  7,871,120","     86,134","    768,045","  1,170,158","    221,312","    120,597","          －","          －","          －","          －","     43,044","          －","          －","          －","  4,159,897","          －"
"85年 3月","107,702,173","103,837,333","  7,906,146"," 31,341,644","  8,247,358"," 23,094,286","  1,747,248","  1,354,159","    393,089"," 11,785,434","  1,976,499","          －","          －","          －"," 37,923,599","          －","  8,038,278","          －","    248,731","  7,789,547","     81,474","    796,815","  1,251,588","    820,549","    124,443","          －","          －","          －","          －","     43,616","          －","          －","          －","  3,864,840","          －"
"85年 4月","113,479,029","109,190,170","  9,128,378"," 50,350,442"," 22,412,549"," 27,937,893","  1,605,447","  1,188,376","    417,071"," 12,297,290","  5,626,045","          －","          －","          －"," -2,827,706","        505","  8,096,193","         14","    269,092","  7,827,087","    410,683"," 22,683,411","  1,401,776","    231,580","    126,543","          －","          －","          －","          －","     59,583","          －","          －","          －","  4,288,859","          －"
"85年 5月","180,947,403","176,532,637","  8,552,776"," 55,897,010"," 25,709,451"," 30,187,559","  2,343,384","  1,889,608","    453,776"," 13,150,386","  4,438,009","          －","          －","          －"," 40,364,463","        349"," 11,826,552","          －","    361,969"," 11,464,583"," 26,677,136","  8,076,499","  1,511,987","    944,752","    113,101","          －","          －","          －","          －","  2,636,233","          －","          －","          －","  4,414,766","          －"
"85年 6月"," 86,802,261"," 77,996,425","  8,347,102"," 24,841,438","  7,560,991"," 17,280,447","  1,875,970","  1,387,422","    488,548"," 17,916,898","  3,999,285","          －","          －","          －"," -3,641,010","        952"," 10,567,712","          1","    235,325"," 10,332,386"," 10,197,856","    676,771","  1,448,077","    360,297","    104,029","          －","          －","          －","          －","  1,301,048","          －","          －","          －","  8,805,836","          －"
"85年 7月","109,446,265","104,612,646","  7,998,686"," 25,921,349"," 21,190,261","  4,731,088","  2,130,375","  1,587,889","    542,486","  8,845,382","  3,242,865","          －","          －","          －"," 41,624,138","         12"," 11,537,105","          －","    173,869"," 11,363,236","    452,302","    528,510","  1,356,819","    791,842","    108,312","          －","          －","          －","          －","     74,949","          －","          －","          －","  4,833,619","          －"
"85年 8月"," 83,221,232"," 77,175,206","  8,446,040"," 38,304,767"," 28,258,567"," 10,046,200","  2,214,512","  1,702,252","    512,260"," 14,558,153","  2,936,806","          －","          －","          －"," -4,481,656","      4,669"," 12,669,006","          －","    153,598"," 12,515,408","    253,949","    565,296","  1,299,170","    247,108","    103,326","          －","          －","          －","          －","     54,060","          －","          －","          －","  6,046,026","          －"
"85年 9月","101,322,783"," 96,295,633","  7,544,732"," 21,826,728"," 10,371,408"," 11,455,320","  1,499,544","  1,013,975","    485,569"," 10,743,688","  3,001,269","          －","          －","          －"," 39,322,303","        135","  9,644,897","          －","     99,341","  9,545,556","    225,212","    406,625","  1,096,769","    824,313","    106,945","          －","          －","          －","          －","     52,473","          －","          －","          －","  5,027,150","          －"
"85年 10月"," 51,877,240"," 48,388,093","  8,693,478"," 16,101,023","  2,670,318"," 13,430,705","  1,855,434","  1,267,606","    587,828"," 10,792,577","  3,208,618","          －","          －","          －"," -3,883,867","        168","  9,270,621","          －","     88,768","  9,181,853","    193,540","    564,279","  1,216,510","    217,907","    104,259","          －","          －","          －","          －","     53,546","          －","          －","          －","  3,489,147","          －"
"85年 11月","104,633,762"," 99,668,963","  8,439,428"," 13,505,601","    956,192"," 12,549,409","  2,117,274","  1,711,177","    406,097"," 12,814,640","  5,388,381","          －","          －","          －"," 41,845,970","        390"," 12,547,067","          －","  3,797,131","  8,749,936","    145,569","    665,906","  1,216,273","    810,286","    121,758","          －","          －","          －","          －","     50,420","          －","          －","          －","  4,964,799","          －"
"85年 12月"," 84,080,874"," 79,887,792","  8,842,399"," 15,843,708","  1,201,623"," 14,642,085","  1,931,773","  1,456,722","    475,051"," 11,171,490","  4,446,668","          －","          －","          －"," -5,252,387","        553"," 40,678,839","          －"," 30,001,917"," 10,676,922","    152,104","    229,945","  1,438,559","    255,027","    107,062","          －","          －","          －","          －","     42,052","          －","          －","          －","  4,193,082","          －"
"86年","1,367,257,220","1,309,645,627","111,563,512","371,525,174","151,784,457","219,740,717"," 24,610,216"," 18,782,799","  5,827,417","149,169,618","121,132,832","          －","          －","          －","234,689,482","     13,076","187,631,979","        249"," 45,873,530","141,758,200"," 41,674,332"," 39,160,272"," 15,649,777","  6,897,400","  1,306,362","          －","          －","          －","          －","  4,621,595","          －","          －","          －"," 57,611,593","          －"
"86年 1月","135,486,536","129,780,259","  9,224,663"," 34,347,726"," 12,222,167"," 22,125,559","  2,695,602","  2,103,895","    591,707"," 11,251,023","  6,390,352","          －","          －","          －"," 44,205,554","      3,765"," 18,173,526","          －","  6,559,869"," 11,613,657","    115,415","    882,675","  1,468,292","    870,948","    109,073","          －","          －","          －","          －","     41,645","          －","          －","          －","  5,706,277","          －"
"86年 2月"," 57,879,670"," 53,870,284","  7,011,931"," 19,485,249","    958,101"," 18,527,148","  1,627,039","  1,219,787","    407,252"," 13,977,268","  7,405,097","          －","          －","          －"," -5,527,993","      2,766","  7,873,310","          －","    378,939","  7,494,371","     86,596","    687,144","    850,632","    260,849","     96,527","          －","          －","          －","          －","     33,869","          －","          －","          －","  4,009,386","          －"
"86年 3月","140,090,292","135,973,640","  9,185,719"," 47,353,288"," 23,359,501"," 23,993,787","  2,181,283","  1,607,232","    574,051"," 10,454,640"," 11,486,181","          －","          －","          －"," 40,399,317","        460"," 11,307,254","          2","    332,144"," 10,975,108","    175,602","  1,259,150","  1,201,066","    815,499","    114,888","          －","          －","          －","          －","     39,293","          －","          －","          －","  4,116,652","          －"
"86年 4月","114,248,683","109,298,120","  9,335,863"," 37,535,658"," 12,034,581"," 25,501,077","  2,163,731","  1,719,500","    444,231"," 12,239,335"," 11,873,963","          －","          －","          －"," -3,302,227","        179"," 13,217,286","          －","    295,015"," 12,922,271","    437,586"," 23,893,490","  1,448,181","    299,077","     97,890","          －","          －","          －","          －","     58,108","          －","          －","          －","  4,950,563","          －"
"86年 5月","198,628,793","193,259,638","  9,396,403"," 60,704,845"," 27,342,839"," 33,362,006","  2,169,389","  1,688,069","    481,320"," 14,016,544","  7,995,408","          －","          －","          －"," 44,320,140","        118"," 13,229,493","          －","    197,420"," 13,032,073"," 27,656,391","  8,654,915","  1,418,617","    925,531","    109,406","          －","          －","          －","          －","  2,662,438","          －","          －","          －","  5,369,155","          －"
"86年 6月"," 90,536,553"," 85,063,651","  9,286,648"," 21,960,535","  6,024,969"," 15,935,566","  1,740,404","  1,219,430","    520,974"," 15,580,187"," 11,742,626","          －","          －","          －"," -5,818,992","        739"," 14,634,584","          1","    213,069"," 14,421,514"," 11,700,213","    732,157","  1,495,188","    436,650","    111,989","          －","          －","          －","          －","  1,460,723","          －","          －","          －","  5,472,902","          －"
"86年 7月","151,826,484","146,511,031","  9,777,439"," 44,475,453"," 37,346,151","  7,129,302","  2,321,680","  1,892,972","    428,708","  9,828,930"," 16,590,425","          －","          －","          －"," 45,989,016","      2,540"," 14,150,993","          －","    117,004"," 14,033,989","    515,813","    657,773","  1,394,702","    617,282","    108,669","          －","          －","          －","          －","     80,316","          －","          －","          －","  5,315,453","          －"
"86年 8月"," 79,475,449"," 74,159,996","  8,268,970"," 24,747,595"," 11,548,043"," 13,199,552","  2,669,732","  2,086,549","    583,183"," 13,169,628"," 13,063,131","          －","          －","          －"," -5,286,837","      1,840"," 14,782,626","          －","    139,657"," 14,642,969","    325,505","    553,983","  1,386,392","    306,067","    111,988","          －","          －","          －","          －","     59,376","          －","          －","          －","  5,315,453","          －"
"86年 9月","125,208,853","120,551,601","  8,725,824"," 30,459,353"," 17,394,016"," 13,065,337","  1,501,312","  1,005,468","    495,844"," 11,093,845","  8,484,881","          －","          －","          －"," 45,288,216","        157"," 12,156,211","          －","    140,228"," 12,015,983","    200,115","    388,031","  1,229,047","    861,264","    115,040","          －","          －","          －","          －","     48,305","          －","          －","          －","  4,657,252","          －"
