縣市別碼(新),鄉鎮市區碼(新),醫院家數,醫事人員總計,醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,鑲牙生,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機
37,04,2,45,8,0,0,4,1,4,0,3,0,16,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,25,3
37,05,7,793,89,0,4,53,1,35,0,29,0,429,80,0,0,0,11,18,13,17,3,2,0,6,3,0,0,0,9,56,306,60
37,06,1,34,4,0,0,3,0,2,1,3,0,13,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,23,4
37,07,2,50,9,0,0,4,0,2,0,3,0,12,11,0,0,0,1,4,1,1,1,0,0,1,0,0,0,0,0,1,27,3
37,08,3,335,48,5,3,22,0,14,0,9,1,184,28,0,0,0,5,6,0,3,1,0,1,2,2,1,0,0,2,14,148,30
37,10,1,20,3,0,0,2,0,1,0,1,0,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,3
37,15,1,45,3,0,0,2,0,1,0,1,0,7,4,0,0,0,1,9,4,7,2,0,0,0,4,0,0,0,1,8,20,2
37,17,1,518,61,2,2,31,0,28,0,17,0,298,34,0,0,0,6,9,2,13,1,5,1,4,3,1,0,0,7,8,111,121
38,01,2,525,71,1,1,28,0,27,0,22,0,284,48,0,0,0,6,11,8,8,0,1,1,6,2,0,0,0,3,11,148,98
38,02,2,708,110,5,4,39,0,37,0,28,0,362,74,0,0,0,6,15,3,8,2,5,0,5,4,0,1,0,15,59,234,61
38,03,4,716,90,1,13,34,0,29,0,22,0,384,68,0,0,0,5,9,5,30,1,18,2,2,1,1,1,0,21,85,148,135
38,04,2,370,45,2,4,20,0,21,0,12,0,195,38,0,0,0,4,8,7,7,0,1,0,3,2,1,0,0,3,76,124,50
38,06,1,40,5,0,0,4,0,2,0,4,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0
39,01,5,1539,242,0,9,70,0,77,0,39,0,896,100,0,2,0,13,23,6,24,5,10,1,15,4,3,0,0,29,47,430,177
39,02,1,70,8,0,0,4,0,3,0,2,0,32,9,0,0,0,1,3,4,3,0,0,0,1,0,0,0,0,0,4,15,0
39,03,1,452,48,1,5,20,0,24,0,12,0,264,38,0,0,0,5,8,3,10,0,2,0,7,4,1,0,0,5,42,190,7
39,04,2,321,51,0,1,17,0,13,0,12,0,163,33,0,0,0,3,11,2,5,1,1,0,5,2,1,0,0,2,18,90,44
39,05,1,27,4,0,0,3,0,1,0,2,0,8,6,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,4,2
39,06,4,515,67,10,3,29,0,25,1,20,0,247,67,0,1,0,7,14,3,7,1,1,0,9,2,1,0,0,4,33,165,28
39,13,1,192,22,3,1,11,0,7,0,6,0,119,13,0,0,0,1,3,0,2,0,0,0,4,0,0,0,0,1,15,48,9
40,01,2,1851,287,14,10,83,0,56,0,42,0,1224,38,0,0,0,16,14,5,10,0,5,0,41,4,2,0,0,13,219,389,86
40,03,1,1204,173,16,6,57,0,68,0,39,0,740,45,0,0,0,11,13,1,10,0,3,0,16,3,3,0,0,11,188,317,8
40,14,1,176,22,0,1,11,0,5,0,5,0,83,17,0,0,0,2,10,0,10,2,5,0,3,0,0,0,0,5,48,19,0
43,01,10,2484,299,3,8,113,0,119,0,73,0,1467,248,1,0,0,26,39,19,19,1,6,1,33,7,2,0,0,37,161,742,375
43,02,3,184,23,2,0,13,0,8,0,9,0,86,25,0,0,0,2,9,6,1,0,0,0,0,0,0,0,0,0,2,67,4
43,03,2,1041,160,0,10,47,0,52,0,29,0,610,79,0,1,0,10,15,5,7,1,1,1,9,3,1,0,0,16,169,212,197
43,04,3,191,44,0,2,10,0,10,0,9,1,83,18,0,0,0,2,7,3,1,0,0,0,1,0,0,0,0,11,12,70,23
43,07,1,94,8,0,0,3,0,2,0,0,0,49,20,0,0,0,1,0,0,4,3,4,0,0,0,0,0,0,5,8,14,31
43,11,2,30,5,0,0,4,0,1,0,3,0,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,5
43,13,2,261,37,0,1,13,0,11,0,7,0,141,25,0,0,0,3,4,4,6,3,3,0,3,0,0,0,0,10,10,77,58
43,15,2,103,11,0,0,5,1,2,0,2,0,39,31,0,0,0,2,0,1,3,0,3,2,1,0,0,0,0,8,7,19,20
43,16,1,176,25,0,0,7,0,8,0,7,0,89,32,0,0,0,2,3,1,0,0,0,0,2,0,0,0,0,1,10,45,31
44,01,3,386,74,0,2,18,1,18,0,13,0,187,43,0,0,0,4,12,5,4,0,1,0,1,2,1,0,0,9,12,117,63
45,01,4,2199,421,19,20,98,0,111,0,74,2,1232,73,3,0,0,19,37,4,22,1,14,1,39,5,4,0,0,24,495,555,77
45,02,1,164,17,0,0,9,1,5,0,4,0,66,47,0,0,0,2,5,1,3,0,1,0,3,0,0,0,0,5,3,57,49
45,03,3,612,90,2,3,32,0,16,0,10,0,293,93,0,0,0,6,6,3,32,6,20,0,0,0,0,0,0,30,57,142,319
45,04,1,279,49,0,4,18,1,13,0,8,0,148,16,0,0,0,3,5,4,6,0,2,0,2,0,0,0,0,7,16,143,1
45,06,1,68,6,0,1,3,0,0,0,1,0,40,5,0,0,0,2,0,0,5,0,5,0,0,0,0,0,0,5,36,15,14
45,08,1,18,4,0,0,2,0,2,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
46,01,5,1206,153,3,5,62,0,52,0,42,0,692,100,0,1,0,16,18,11,19,0,6,1,17,5,3,0,0,24,157,367,137
46,02,1,26,3,0,1,3,0,3,0,3,0,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,5
46,03,1,54,4,2,0,4,1,4,0,4,0,22,9,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,13,21,0
90,03,1,254,38,0,3,13,3,13,1,13,0,133,16,0,0,0,3,10,3,4,0,1,0,0,0,0,0,0,4,4,98,31
91,01,1,46,11,0,3,6,0,3,0,2,0,13,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,17,3
