SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,水溫,Water Temperature,WT,29.5,℃
七結橋(取代得子口橋),Tetzekou Bridge,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7651450,24.8031790,327233.67,2744746.33,2015-07-09,河川污染分類指標,River Pollution Index,RPI,4.3,
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,大腸桿菌群,Coliform Group,Coliform,850,CFU/100mL
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,溶氧飽和度,Dissolved Oxygen Saturation,DOS,97.2,%
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,氯鹽,Chloride,Cl,-,mg/L
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,氨氮,NH3-N,NH3-N,0.01,mg/L
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,化學需氧量,Chemical Oxygen Demand,COD,5.3,mg/L
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,生化需氧量,Biochemical Oxygen Demand,BOD5,<1.0,mg/L
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,溶氧(電極法),Dissolved Oxygen,DO,7.8,mg/L
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,懸浮固體,Suspended Solid,SS,19.0,mg/L
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,氣溫,Temperature,TMP,28.1,℃
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,導電度,Conductivity,EC,684,μmho/cm25℃
