月,總計, 亞洲, 　香港, 　印尼, 　日本, 　韓國, 　中國大陸, 　馬來西亞, 　新加坡, 　泰國, 　越南, 中東, 　科威特, 　沙烏地阿拉伯, 歐洲, 　法國, 　德國, 　義大利, 　英國, 非洲, 　奈及利亞, 北美洲, 　加拿大, 　美國, 中美洲, 　墨西哥, 　巴拿馬, 南美洲, 　阿根廷, 　巴西, 大洋洲, 　澳大利亞, 　紐西蘭
2002M02,230230,132998,3762,5580,55035,17217,13665,8283,7256,4142,848,11155,2577,2268,30896,7086,8209,1933,2952,1675,1,41611,1412,40199,980,840,17,2765,57,1126,7632,6704,713
2002M03,358810,210210,5886,6148,85917,27505,24042,15174,11788,7513,1450,20689,3406,7597,44020,3993,13633,4374,4308,7782,2023,59290,2811,56479,1631,1366,24,3504,196,1465,11082,9788,1019
2002M04,343744,200780,6004,7003,83566,25449,23945,14167,10884,7639,1585,21615,6428,4728,42931,3698,13368,3214,4003,6393,841,56374,2775,53599,1186,983,13,4387,601,1500,9407,7745,1230
2002M05,329459,186650,5306,9207,75417,23376,22304,12239,10351,7152,1490,21730,3553,12142,41652,3459,13004,2656,4282,4884,1,57978,2765,55213,1151,946,13,4384,160,2316,10340,8821,1245
2002M06,331745,192257,5303,9607,82950,22064,23186,11749,10482,6731,1289,17022,3875,5149,42744,3416,14053,3021,3824,4744,0,57992,2724,55268,1676,1164,16,4009,117,1382,10585,9010,1214
2002M07,359036,196057,5366,7176,88709,22190,23111,12416,10380,6514,1340,18839,3891,4828,50005,4116,14416,3830,4747,5295,1,71987,3107,68880,1533,1248,20,4791,270,1773,9902,8432,1054
2002M08,309478,172340,5654,9528,74054,19074,22374,10558,9639,5170,1214,22011,2540,7231,44387,4413,12917,3226,3755,3744,0,52551,2580,49971,1050,804,14,4038,158,1335,8738,7464,930
2002M09,363465,192346,5636,7366,80628,23437,25489,12654,11166,5675,1506,35079,4717,11076,43368,4015,13127,3325,4234,12392,729,63373,3118,60255,1510,1237,17,5098,340,2473,9661,8577,779
2002M10,359243,204946,6668,7467,91446,23546,25743,11957,11889,6212,1482,28380,6558,9098,48341,4650,14049,3493,3918,8797,1877,51079,2357,48722,1519,991,16,4523,563,1643,10930,9668,980
2002M11,326405,184994,5795,8315,79169,21187,26241,11158,10100,6185,1278,22978,2626,7322,41933,5199,13478,2843,4062,7890,971,53903,3800,50103,1400,967,9,4640,733,2062,7956,6896,836
2002M12,346943,205909,5832,7213,91902,24012,28929,12559,9656,6784,1262,18140,3857,5510,46123,5694,13480,3517,4013,6100,0,53996,3436,50560,1645,1081,40,5031,830,2029,9250,7852,963
2003M01,331862,189695,5432,8454,76911,24442,27501,11624,11030,6151,1344,31750,5966,12395,39601,4177,12873,3435,3674,5545,2,49001,2997,46004,1110,795,12,4786,165,2737,9680,8000,1319
2003M02,294329,169589,3488,7613,75752,20735,19805,11218,9367,5786,700,28992,4901,13295,36007,3282,10991,2528,3641,5497,1,41436,2360,39076,981,691,10,3456,106,1465,7835,6693,829
2003M03,381320,229796,5749,7696,104112,27399,31779,15424,11702,7464,1493,27491,2903,13755,49676,4423,16940,3708,4381,4313,2,51722,3278,48444,1768,1219,14,5232,207,2263,10650,9125,1117
2003M04,365552,214957,5563,9451,94104,24836,31786,14746,10258,6435,1442,28022,7498,11227,47051,4213,14151,3514,3838,9820,0,49710,3157,46553,1381,778,14,3711,127,1741,10190,8467,1396
2003M05,333378,187135,4562,9182,77879,21974,29195,12164,9744,6555,1224,29778,6955,12573,42185,3651,13739,3194,3505,11810,1099,45513,3409,42104,1546,1186,19,5438,201,2928,9199,7557,1294
2003M06,359881,207979,5064,8810,91075,23667,30617,13810,10500,7367,1256,26254,6660,9254,49023,4305,14401,3548,3794,10316,1804,47145,3065,44080,1571,872,10,7761,1454,3197,9128,7296,1488
2003M07,359257,204000,4715,8002,88763,25255,29319,12967,11325,6803,1203,23251,2018,11415,48224,8285,12941,3841,3813,6470,0,59758,3668,56090,1360,931,13,6199,673,3311,9332,8067,961
2003M08,360208,207055,5014,8949,87012,24463,32136,13258,11477,6449,1217,28961,5861,11910,47742,4751,14252,3362,3909,5240,1948,54131,2724,51407,1435,939,21,7009,141,4193,7952,6620,1007
2003M09,377443,221397,5953,8434,93389,25140,34804,14678,12100,7416,1442,31523,5446,12954,48190,4917,13607,3159,4153,9677,1047,49778,3355,46423,1796,1283,26,5172,265,2182,9133,7627,1143
2003M10,370616,227793,6798,7806,103467,26862,32082,13933,11317,6450,1547,20324,6981,6669,48445,4165,14846,2876,4559,4186,238,53721,2652,51069,1315,885,27,4797,889,1954,9281,8037,864
2003M11,423840,255770,6531,9373,116301,30193,39772,15071,12518,7417,1381,38586,4812,16759,48480,4612,16353,2639,4587,9964,987,55202,3287,51915,1642,948,19,4400,236,1469,8958,7664,882
2003M12,452292,255650,7139,7142,118074,26089,40635,15355,12304,7707,1668,44264,8996,15207,55577,5479,16717,3449,5434,10570,2594,65737,3453,62284,1507,991,35,7799,699,4149,10344,9026,936
2004M01,360301,217651,5255,8574,93590,26956,35721,12861,10741,6910,1382,23216,7065,8960,43895,4117,12455,3422,4171,4367,1,51715,2682,49033,1620,954,39,7539,351,3922,9695,8207,966
2004M02,441851,253050,6186,10626,117062,28891,35611,15342,12072,7561,1234,43685,11762,13185,57019,4591,16211,3650,4703,8567,0,59135,3101,56034,1795,1267,64,6940,298,2682,10981,9293,1197
2004M03,472843,287180,6797,10175,130260,33267,45559,16067,13340,8827,1741,28285,3253,14238,59660,6025,16673,3875,4751,7905,0,69384,3401,65983,1457,783,115,7014,125,2341,11179,8979,1566
2004M04,436314,253434,6619,10418,115522,27601,41618,13997,11909,6806,1613,35968,5981,12708,56029,4446,15038,3125,4481,8568,1655,61372,2820,58552,2090,1325,110,7292,129,2887,10800,9040,1261
2004M05,487291,273843,7438,11485,112061,34873,48125,16694,13265,8565,1775,41299,7526,12594,62333,5719,18572,3942,4638,13521,1234,69887,3920,65967,1762,977,98,12148,705,5651,11782,9630,1638
2004M06,495781,279817,6498,10934,123193,32753,50097,15210,11673,9001,1540,44351,8417,23132,63219,7961,16569,3803,5198,17344,2425,65140,3905,61235,2203,1616,40,11776,1263,5345,11111,9293,1359
2004M07,467517,274743,5978,12132,125722,33271,44920,15461,11758,7609,1730,36605,9036,11548,59637,7727,15888,4002,4660,13853,1157,61895,3715,58180,1546,1016,29,7999,195,3377,10504,8723,1348
2004M08,477090,280995,6551,12180,122984,31376,48075,16975,12047,8054,1839,36125,6321,14222,60936,5847,17214,4198,5747,8344,0,66498,3263,63235,2304,1639,38,9870,475,4726,11237,9260,1547
2004M09,484942,287227,6356,14112,126735,33828,50654,15367,12113,7635,1859,49730,7928,21633,54701,5217,15851,3683,4644,10501,0,61654,3624,58030,1751,1096,56,6324,102,2808,12237,10605,1227
2004M10,513406,301988,7050,13635,132957,37030,52210,15166,12782,8394,2126,39632,8069,13814,64094,5676,17438,3828,5068,15637,1470,68038,3167,64871,2419,1584,73,9492,193,5523,11313,9619,1273
2004M11,499604,302917,6755,12042,138302,37109,54370,14031,12555,7052,1836,33505,5564,13026,63504,5044,16970,3861,4764,11648,0,65627,3269,62358,1371,779,57,7345,203,3196,12761,11287,927
2004M12,519732,286997,5946,11703,127220,34097,55817,14778,10979,7006,1753,57333,11843,26954,67382,7984,17288,3866,5673,17894,1745,70041,3513,66528,1678,953,50,5072,135,2313,12468,10991,1093
2005M01,501398,292205,6723,11065,127426,37890,54718,12451,12483,8361,2133,46092,10986,15988,65851,6087,17334,4239,5376,6141,0,67296,3217,64079,1721,933,70,7982,309,3335,13228,11532,1238
2005M02,346769,208633,3517,8002,97395,24878,34768,10434,8555,6253,1092,26975,7210,8186,42535,3765,11383,3679,3974,5805,1,44149,2466,41683,1439,704,55,5500,113,2180,11098,9830,905
2005M03,505351,294171,5699,12147,135747,36553,53271,12167,12303,7746,1810,49522,8143,20076,59344,6468,17076,3722,4537,13518,1,65194,3745,61449,1747,899,73,5708,265,1560,15359,13405,1473
2005M04,494965,281867,6044,11332,131018,31906,52608,13318,11816,6961,1810,54653,14644,20957,58145,4839,15866,3601,4119,13012,0,61010,2698,58312,1726,910,78,8231,458,3042,15449,13602,1387
2005M05,508005,297138,6518,13074,130904,35270,56856,13967,13546,7523,1847,52151,8233,21875,57648,4552,17459,4098,4749,6094,1,71291,3602,67689,1716,862,71,5834,441,2046,15320,13152,1708
2005M06,473290,272312,4840,10677,122992,31468,51637,14302,13031,7225,1650,47376,13818,20974,57980,7166,17605,3229,3977,11970,0,58552,4212,54340,2108,1145,60,8039,218,2692,14060,12200,1661
2005M07,481426,281865,5165,13787,119849,36597,51301,14821,14402,7295,1790,43570,13482,8255,64433,11103,19623,3834,4489,10205,0,56924,3189,53735,1832,1036,63,7169,189,3186,14629,12691,1291
2005M08,495155,275083,5264,12653,115030,33003,55021,13857,12798,6975,1925,61190,9295,27678,54907,5102,15946,4127,4859,13623,0,60963,2930,58033,1958,1018,40,10329,940,5192,16269,14074,1568
2005M09,506833,290828,6143,12310,124238,37745,54009,15438,13762,8373,2132,64189,17538,22377,60253,7940,16224,4022,4607,6950,0,56202,4719,51482,1770,911,64,11333,996,5055,14457,12654,1383
2005M10,549512,323834,6439,16733,136655,40394,59609,16933,16167,8986,2360,61813,13347,28464,63937,11832,16869,4599,5197,11418,1,60624,3713,56911,2280,1131,74,9852,211,5224,14855,13055,1322
2005M11,534756,316526,6031,12793,123566,45309,64350,15903,16863,9446,2155,59057,12225,25477,63384,5533,18254,3906,4607,6583,0,63915,3994,59921,1767,886,74,8175,269,2881,14355,12736,1123
2005M12,479703,282066,5525,11742,115915,35614,59143,14506,14204,7886,1892,50537,9452,19539,56160,7702,15098,3665,4677,10313,0,57007,4167,52840,1932,999,72,6310,179,2886,14447,13063,1232
2006M01,470856,263866,4784,11456,101948,34371,57624,12765,13420,7634,1999,66752,12298,30628,54738,6841,15120,3781,4556,10970,0,52812,3381,49431,1699,833,71,7108,327,2240,12062,10647,1208
2006M02,516917,291949,4640,13088,126112,40009,51117,12983,16034,8514,1716,75309,17580,26709,49156,4514,15153,3676,4067,14941,2007,60268,3287,56981,1826,965,59,7781,206,2081,15040,13187,1064
2006M03,524744,312083,4933,12621,133397,36450,63554,16417,15243,8708,2326,58419,10889,23387,56685,4679,16885,3646,4935,11097,1,61428,3868,57560,2286,1002,87,5722,222,1947,16160,14207,1449
2006M04,534992,304325,4845,11160,129315,35208,65457,15108,13613,8496,2188,63209,15885,24716,57728,4771,16450,4122,4596,18240,0,61953,3795,58158,2188,961,74,8475,209,2475,17910,16035,1478
2006M05,579149,318853,4976,14865,126073,40103,65200,22175,14016,9575,2159,82377,20423,37051,58448,4692,18105,4795,4686,23768,1,64967,4220,60747,2537,1009,113,9668,233,3331,17622,15158,1636
2006M06,544373,306778,4803,13728,125205,36100,66835,17480,12988,9076,2063,65212,11245,20358,60994,11467,15175,3521,4457,18738,2,63261,3801,59460,2789,1218,74,10162,406,4190,15563,13307,1575
2006M07,579879,340842,5194,16703,137504,44000,71075,16404,14384,9404,2166,54962,10655,19253,59577,5281,17348,4163,5324,15265,3,79830,3773,76057,2320,1101,101,10162,280,2490,16106,13733,1643
2006M08,596631,332593,5180,17963,122842,41470,75798,17300,14466,9742,2513,81400,19822,34427,61601,8740,16136,4601,4840,20249,7,68686,4443,64243,2272,1003,116,9051,215,3453,19924,17625,1401
2006M09,567598,322219,5522,15191,121856,42019,70062,16749,14753,9358,2450,79819,13866,26912,58882,5197,16676,4085,4833,16194,3,60523,2931,57592,2488,1267,137,11256,217,3632,15307,13209,1221
2006M10,578949,344542,5118,15274,132751,49728,75887,17306,14037,10022,2988,61490,5710,28609,63289,5624,18469,4151,5627,15267,2,64607,4000,60607,2585,1280,116,8724,311,2779,17577,15724,1256
2006M11,566039,337214,4813,14658,131251,47913,76096,17287,12980,8926,2742,55540,11568,18845,58884,5393,17322,5634,4765,7609,1,74745,3077,71668,2886,1542,133,11127,256,3054,17090,14804,971
2006M12,544210,305597,6471,12909,119646,41624,69297,15097,10351,8634,2413,66703,12902,26817,59052,5115,17056,4184,5360,7286,3,70258,4164,66094,5265,1738,103,9906,317,3055,19210,16692,1445
2007M01,587323,324979,6832,15407,114773,46066,77036,14913,14174,9873,2935,70891,11981,32009,66035,5526,18477,4427,5755,15948,4,72609,3671,68938,3433,2041,150,9587,336,4475,22994,20496,1491
2007M02,416893,241144,3330,11886,94946,31389,53299,9924,9324,8650,1885,45125,11075,18516,41689,3878,11996,3150,4374,13318,0,53186,3964,49222,2328,1464,67,5647,188,2233,13682,11262,1275
2007M03,579064,326870,5286,13543,132318,41290,68792,18359,11850,9998,2439,61795,13725,22394,69547,8440,19619,4045,5724,14245,0,75653,5099,70554,3702,1829,182,7580,193,2005,18848,15733,1852
2007M04,607944,343084,4821,12787,135495,43941,79092,18591,13895,10562,3033,71296,12318,22098,66032,5058,19145,3912,4699,14378,2969,80255,5031,75224,2766,1256,153,8440,283,3263,20678,17625,1628
2007M05,605872,331083,5035,16593,125491,40643,78836,16575,11983,11149,2804,76687,19668,30973,68623,8615,21556,3751,5393,14752,0,77726,6108,71618,3087,1612,136,11675,240,3860,21251,17711,1882
2007M06,619180,328441,5120,14514,124288,40807,77287,18469,12533,10194,2972,85996,11399,32224,65173,5993,17867,4168,5055,18112,2,85883,5533,80350,3436,1894,164,9582,297,2767,21634,18485,1615
2007M07,680762,376402,4956,21701,139927,48492,85253,19445,13921,10398,3236,73562,9988,28080,77900,6519,23778,4613,6798,19809,0,90128,5026,85102,2691,1110,218,15235,234,5518,24117,20064,2076
2007M08,595503,334772,4693,15008,124038,42057,76456,17852,14571,8986,2778,70983,19299,24800,60892,5530,18415,4283,4968,15113,1,81694,3868,77826,2513,1089,112,10885,153,3993,17711,15269,1380
2007M09,630234,345523,4992,16902,131673,41848,80731,17533,13881,9568,3030,77360,11178,33282,66077,5915,20375,3957,5082,27106,2235,76666,3743,72923,2920,1388,126,13472,802,4515,20102,17918,1464
2007M10,629532,346046,5097,15798,132047,39829,80870,18258,16122,10588,3183,95432,17179,35445,63965,9643,21262,3715,4249,16892,1125,73005,3746,69259,4860,1781,173,10635,239,3472,18191,16456,1440
2007M11,570447,325258,5195,16778,120127,39872,78699,15631,12829,8977,2834,68560,14907,24885,59148,6009,19167,4125,5410,17204,1044,71004,5169,65835,3595,1955,126,9942,424,3065,14643,13102,1095
2007M12,689037,358891,4668,18993,136063,42395,85087,18188,12527,9954,3154,117130,35897,37613,70208,7235,20908,4383,5654,14872,4131,90041,4889,85151,3661,2079,161,12994,272,4946,20258,17322,1406
2008M01,668674,364359,4606,19092,136776,42078,89684,15953,13994,9209,3106,98420,13478,39212,69870,7357,24081,4900,5214,13313,1249,85005,4893,80112,3507,1926,168,11715,301,4810,21536,18538,1671
2008M02,511794,265591,2345,13335,109486,31947,56976,13444,9785,8050,2179,93035,24974,36021,51697,4706,15552,3308,3473,6755,1627,64664,4457,60207,2184,948,129,8814,439,3541,18346,16637,1033
2008M03,747887,378133,5249,19214,150887,40367,90192,17754,11895,11065,3483,122787,30564,41685,79096,7061,22716,5051,5627,29187,4152,93040,4652,88388,4678,1737,150,15034,349,5914,24957,21900,1700
2008M04,654606,344320,4728,17098,131496,34378,86453,18874,14750,8380,3061,80305,12083,46669,78637,6546,21878,4421,6448,26091,3886,83681,3967,79714,2453,1179,98,14320,219,5540,23683,20256,1429
2008M05,654281,327493,4932,15968,115305,36291,89173,21088,12018,8337,3196,123398,27829,40087,73983,7586,19154,4162,5673,13968,50,71077,5668,65409,3775,2017,243,16846,152,8047,22688,20199,1877
2008M06,695447,358694,4172,20578,133312,39002,90414,18858,14001,8999,3195,109955,21096,41992,68191,6637,21552,4647,5587,31872,1385,84849,5368,79481,4940,2650,357,13364,148,3954,22537,20193,1776
2008M07,704708,359631,4361,23425,128410,38337,89892,19955,15276,8969,3750,127911,28430,51086,67851,6122,22514,4432,5080,21105,1452,78720,5472,73248,5266,1342,329,15862,170,6657,27346,24930,1882
2008M08,777595,372355,4668,25395,125953,37438,97304,23840,16620,8716,3736,164918,24676,75395,63118,5843,18680,4862,5634,36545,2905,85414,4846,80567,5447,2640,323,19478,1454,8956,29365,27218,1784
2008M09,666425,348870,4076,24139,125871,35559,85760,19705,14859,8959,3596,106168,25780,33348,70213,5458,21689,4744,4965,25704,19,72788,4762,68026,2828,1270,174,15514,215,8092,23261,20880,1557
2008M10,573076,316011,3372,21774,118107,31158,77908,16074,13507,7664,3527,83594,22035,27669,53790,5254,17589,3516,4200,17415,1838,60318,4181,56137,3166,1012,68,10925,163,4744,26845,25308,1080
2008M11,503372,275545,2270,17325,103269,27606,72896,12915,8537,7463,2698,63584,10484,25774,49950,4875,14790,4020,4477,17531,3879,55455,3881,51574,1899,940,72,11599,436,5949,26731,25130,1151
2008M12,393219,218991,1972,11916,83783,19623,60126,13859,6137,6527,2619,45637,11779,15641,41238,4629,14801,3402,3854,10162,3976,47863,4151,43712,1440,792,35,6177,142,2610,20641,19547,984
2009M01,296318,162204,1689,10787,60459,14891,44334,7048,7320,4437,1952,37877,5775,17906,34405,3923,8662,2168,2249,5379,0,30918,2417,28501,1180,574,25,6092,159,2963,17364,16240,909
2009M02,366722,203214,1878,9536,82789,21229,46935,9740,6579,6551,1766,44876,6959,19410,39663,4164,12809,3491,3108,8682,1900,45376,2907,42469,1380,515,41,6551,130,3100,16275,14831,1081
2009M03,421586,253086,2483,14334,93729,27123,67544,9476,8750,7624,2726,44043,13359,16687,44795,4504,13441,3391,3571,7800,1716,46377,3142,43235,2719,724,71,6813,209,3302,14999,13470,1124
2009M04,428202,241717,2596,15505,88022,25907,58505,10936,14962,6331,2439,55885,8207,24332,46825,4266,13276,4642,2954,13258,0,45150,2347,42803,2007,955,37,3785,171,917,18519,16916,1294
2009M05,432966,239465,2037,10763,86793,27906,58960,12044,11723,7282,2228,58940,13453,20291,48060,3983,13272,4462,2840,10658,1130,47306,3230,44076,1717,698,25,8477,162,3632,17314,15726,1403
2009M06,497552,275438,3156,14956,103526,29748,67246,12746,12741,7633,2676,56468,9280,16026,61993,5575,16644,6050,3599,13179,1065,56455,3600,52855,2829,1005,49,9364,204,4112,20786,18666,1599
2009M07,502650,278657,2816,16780,100292,28332,66744,14080,13370,7713,2733,74999,20861,34221,56141,4613,15707,5616,3347,6625,925,56495,3499,52996,2339,880,61,8674,247,3782,17679,16024,1483
2009M08,559909,297469,3494,16366,105558,32350,70825,15203,14580,7731,2632,96235,19346,35571,61576,6316,17745,6588,3456,10804,968,55523,2837,52686,2415,1135,95,12561,222,5444,22254,20487,1521
2009M09,542539,318925,4192,19671,113558,33700,81670,15286,16625,7664,2978,56526,14267,14033,69726,5625,19749,6407,4065,5616,1400,59676,3846,55830,2632,1016,85,9521,201,3879,19582,18149,1023
2009M10,536402,308686,4373,14251,112348,32023,73438,14582,14592,7995,2720,62060,10741,28719,57140,4877,18014,5435,3346,19631,3509,60163,3527,56636,2764,1369,87,10109,99,4358,15540,13919,1195
2009M11,581357,338916,4161,14895,121473,38080,87759,14078,18946,8940,2748,65204,11340,19664,64774,5782,19616,6209,4489,10271,1084,66347,3198,63149,3062,1248,106,13012,395,4377,19404,17470,1318
2009M12,590975,333788,4119,13563,127646,35643,82674,15028,18338,8738,2846,89670,16929,38858,57272,5326,18337,5925,3650,14236,3122,67449,3385,64064,2754,1195,95,8338,262,3087,17048,15394,1230
2010M01,616024,341762,5670,16369,118067,38194,85832,17890,18515,8881,2951,93348,20978,39911,60581,5418,20139,5882,4037,12712,1427,68012,4703,63309,3676,1290,70,11888,393,5719,23695,21400,1751
2010M02,507083,298020,2772,11644,116182,30611,65122,15300,16278,8352,2098,65195,10826,20011,51854,4110,13544,5021,3277,7646,26,57369,3099,54270,2162,947,80,9708,196,3716,14867,12870,1246
2010M03,698691,392115,4746,16790,151901,43735,88750,22214,21019,10336,2710,102771,17000,37117,70547,4944,22816,5282,5208,25177,2916,74487,3385,71102,3534,1237,123,9820,250,3148,19946,17448,1718
2010M04,614344,345229,4033,15770,131555,38061,83902,16953,17595,8175,2882,85536,20706,21907,65322,5078,21710,4714,3756,15183,4,64839,3719,61120,4055,1945,105,10099,207,4884,23682,21751,1418
2010M05,705822,394388,4517,16661,144773,41230,102856,22700,20011,10133,3277,102260,18669,43925,73182,5469,22708,6219,4564,22110,574,68347,3421,64926,3733,1631,136,14852,1044,6275,26614,23845,1996
2010M06,683882,380175,3874,11937,141352,42362,97731,21193,20878,10567,3244,88038,18602,33023,72275,5917,22561,5025,5017,22493,491,69062,4756,64306,5037,1911,197,14204,331,5732,32305,29322,2237
2010M07,699684,381967,4821,14867,136444,41488,96601,24872,25857,10219,3318,105739,10304,38908,69136,5495,22505,5168,4283,19127,468,73058,4981,68077,4330,1481,132,19105,2665,7309,26949,24260,1751
2010M08,697026,412231,4031,17334,151063,49768,102874,21243,21506,11556,4051,64173,14458,19510,72620,6402,22475,5784,4641,18717,1505,74750,3393,71357,4471,1719,131,18852,1705,6831,30940,28782,1786
2010M09,659174,382191,4344,14760,137945,43204,99045,19556,21472,10300,3702,67823,15825,24884,69300,5897,22850,4532,4340,17807,2436,70361,3183,67178,4487,1600,101,14120,653,6058,32778,30854,1248
2010M10,660805,390434,3983,16745,139766,49340,100399,20097,19796,10493,4170,68263,9984,30110,64639,6262,21958,4116,4541,19160,96,70842,4190,66652,3726,1779,114,15590,576,7530,27815,26008,1192
2010M11,728633,414580,4480,19494,140163,45868,109938,22165,20203,11006,3960,74887,19652,32523,76614,10080,24107,4975,4748,27919,858,82228,5405,76823,3452,1623,114,20327,331,12492,28215,25718,1522
2010M12,672319,385291,4215,17686,133049,43707,102609,19231,18581,11013,4118,76014,16605,33147,75794,5892,23785,4967,4488,17650,2968,77105,4211,72894,3398,1415,115,14400,345,7279,22357,20018,1474
2011M01,688562,393002,5131,15236,130438,46439,109327,18380,21961,11322,4304,86926,21931,31933,72658,5740,20911,5262,4633,19477,1743,76108,4890,71218,3606,1640,132,12093,481,4546,24397,21676,1801
2011M02,593277,334090,2616,15797,128446,39836,72678,16977,15208,10198,2614,82440,16625,32066,59896,4567,18499,4521,3652,19777,910,59026,3635,55391,4599,1483,83,11984,230,4610,21240,19026,1302
