id,行業別,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
265,石材製品製造,380890996,368527370,325737351,287352399,273157652,255789164,272493776,258076299,266209473,273606985,258546738,217649016,235424638,239015532,246316584,256857746,258916300
269,其他非金屬礦物製品製造,509393822,516684246,484666222,447061190,455310821,449424514,502100960,444035352,427641036,416335213,393142246,327541879,454720248,811827329,621623559,512469515,589737995
26,非金屬礦物製品製造業合計,4096168153,3957846575,3847308728,3718333779,3842699175,3905112464,4294529900,4655930767,4961508278,5019088827,4850853830,4341638622,4908317143,5492889284,5348763540,5564313829,5554712628
271,鋼鐵基本工業,8620150620,8202879443,8449170893,7816379660,8618832464,9111796495,9720121615,9893127487,10797822475,10995570364,10830546506,9392992272,11386655538,11802737658,11544456627,11504625113,11011681881
272,鋁基本工業,445457216,489318674,557283666,533423672,561743964,581879571,617875436,585895796,579565193,576673758,562675100,490847056,582310012,587287635,588869133,607584244,651130510
273,銅基本工業,228705128,285219750,322837929,279686132,359140381,376706059,411506844,385140693,373195732,379331832,350351237,335305904,383017095,372161363,387539386,440934125,454909651
279,其他非鐵金屬基本工業,64333377,82522267,138906717,155049619,137485689,153595289,146799913,130826407,132445713,156396443,150615916,122576883,125019089,123964772,104547377,99743460,105833513
27,金屬基本工業合計,9358646341,9059940134,9468199205,8784539083,9677202498,10223977414,10896303808,10994990383,11883029113,12107972397,11894188759,10341722115,12477001734,12886151428,12625412523,12652886942,12223555555
281,金屬手工具製造,168149451,178493739,196503248,188609017,198380361,214010603,247975021,252271054,267225162,272916150,253789687,213528600,276806060,291288362,280115194,279568514,285249898
282,金屬模具製造,361378198,386784301,449957642,419153226,456310460,498406846,544109386,544723660,529219435,527156027,522249302,431184326,507681062,518818101,514037882,512233501,537990184
283,金屬建築結構及組件製造,189578412,209569456,214222646,193556473,207113519,203846871,220499091,218494824,231726330,218836090,207057306,182467780,234083712,240068264,220585095,221333068,227433814
284,鋁銅製品製造,416766648,436077793,489301277,481596456,567343000,632553166,678873319,683576836,669484010,659807256,644040449,601631665,704121658,702702242,702408747,702555130,686461304
285,粉末冶金、表面及金屬熱處理業,553504141,589290773,645057353,618812526,690588861,750904257,829791864,872381617,843544101,901882814,912359495,750858134,928479815,1004991141,1009264139,1061522670,1120236637
289,其他金屬製品製造,2029065253,2175621311,2491064689,2476173177,2726039040,2948784796,3154866882,3158613851,3350151774,3473769614,3387621596,2946289006,3632364114,3807658342,3834547428,3976829770,4208672706
