表25、青年勞工目前工作平均每月工作收入,,,,,,,─按性別、年齡、教育程度別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%，元
  農林漁牧工作人員, 7 , 100.00 , 17.99 , 19.90 , 28.62 ,, 16.80 , 10.32 , 5.93 , 0.44 , - , - ," 21,057 "
  技術工及有關工作人員, 226 , 100.00 , 3.35 , 11.03 , 20.14 ,, 25.21 , 22.50 , 7.84 , 4.32 , 4.91 , 0.69 ," 27,999 "
  機械設備操作及組裝工, 244 , 100.00 , 3.39 , 9.69 , 35.63 ,, 24.35 , 17.60 , 2.85 , 1.63 , 2.58 , 2.28 ," 26,143 "
  非技術工及體力工, 133 , 100.00 , 16.65 , 17.89 , 31.51 ,, 14.49 , 9.18 , 4.08 , 1.37 , 2.63 , 2.19 ," 23,327 "
  工作型態,,,,,,,,,,,,,
  全日工作," 3,571 ", 100.00 , 2.62 , 6.83 , 20.53 ,, 27.55 , 21.43 , 9.77 , 5.62 , 2.76 , 2.89 ," 29,134 "
  部分工時工作, 441 , 100.00 , 55.23 , 14.84 , 13.48 ,, 8.40 , 4.36 , 1.93 , 0.72 , 0.24 , 0.80 ," 17,272 "
  僱用類型,,,,,,,,,,,,,
  一般員工," 3,833 ", 100.00 , 8.21 , 7.38 , 19.68 ,, 25.47 , 19.79 , 9.07 , 5.11 , 2.54 , 2.75 ," 27,989 "
  派遣員工, 179 , 100.00 , 12.41 , 14.85 , 21.22 ,, 25.02 , 14.67 , 5.56 , 4.43 , 1.22 , 0.63 ," 24,441 "
  工作年資別,,,,,,,,,,,,,
  未滿1年, 247 , 100.00 , 19.07 , 13.36 , 24.76 ,, 24.95 , 11.01 , 2.75 , 3.21 , 0.50 , 0.39 ," 23,009 "
  1~未滿3年," 1,340 ", 100.00 , 12.75 , 9.48 , 17.01 ,, 24.43 , 17.61 , 8.64 , 5.51 , 2.25 , 2.32 ," 27,117 "
  3~未滿6年," 1,448 ", 100.00 , 5.80 , 6.24 , 20.31 ,, 25.01 , 21.22 , 9.67 , 5.21 , 3.33 , 3.21 ," 28,853 "
  6~未滿10年, 766 , 100.00 , 4.05 , 5.81 , 21.71 ,, 27.60 , 22.24 , 9.46 , 4.57 , 2.02 , 2.54 ," 28,359 "
  10年及以上, 211 , 100.00 , 1.82 , 6.87 , 20.38 ,, 27.64 , 20.85 , 10.68 , 5.43 , 2.16 , 4.17 ," 29,084 "
  每月工作收入別  ,,,,,,,,,,,,,
"  未滿17,280元", 337 , 100.00 , 100.00 , - , - ,, - , - , - , - , - , - ," 12,866 "
"  17,280 ~未滿2萬元", 309 , 100.00 , - , 100.00 , - ,, - , - , - , - , - , - ," 18,082 "
  2萬~未滿2萬5千元, 792 , 100.00 , - , - , 100.00 ,, - , - , - , - , - , - ," 21,959 "
  2萬5千~未滿3萬元," 1,021 ", 100.00 , - , - , - ,, 100.00 , - , - , - , - , - ," 26,584 "
  3萬~未滿3萬元5千元, 785 , 100.00 , - , - , - ,, - , 100.00 , - , - , - , - ," 31,216 "
  3萬5千元~未滿4萬元, 357 , 100.00 , - , - , - ,, - , - , 100.00 , - , - , - ," 36,077 "
  4萬~未滿4萬5千元, 204 , 100.00 , - , - , - ,, - , - , - , 100.00 , - , - ," 41,029 "
  4萬5千元~未滿5萬元, 100 , 100.00 , - , - , - ,, - , - , - , - , 100.00 , - ," 45,586 "
  5萬元以上, 107 , 100.00 , - , - , - ,, - , - , - , - , - , 100.00 ," 64,589 "
