表6 青年勞工現職,,,,,,,工作平均每月薪資,,,,,,,
,,,,, 中華民國 ,, 103年10月 ,,,,, 單位：人，％，元 ,,
項目別,樣本數,合計,"未滿
29人以下," 1,414 ", 100.00 , 10.13 , 1.93 , 27.18 ,, 29.55 , 18.19 , 6.80 , 4.29 , 0.98 , 0.95 ," 26,470 ",
30~49人, 518 , 100.00 , 8.66 , 0.63 , 26.21 ,, 26.35 , 22.67 , 8.26 , 3.22 , 1.84 , 2.14 ," 27,646 ",
50~199人, 851 , 100.00 , 5.86 , 2.13 , 24.12 ,, 30.06 , 21.20 , 9.37 , 3.85 , 1.20 , 2.21 ," 28,023 ",
200~499人, 634 , 100.00 , 5.48 , 1.19 , 17.55 ,, 31.46 , 23.08 , 9.75 , 6.00 , 2.87 , 2.62 ," 29,542 ",
500人及以上, 617 , 100.00 , 5.50 , 1.42 , 12.27 ,, 21.65 , 24.47 , 11.57 , 10.38 , 5.99 , 6.76 ," 32,696 ",
總工作年資,,,,,,,,,,,,,,
未滿1年, 381 , 100.00 , 12.97 , 4.28 , 26.03 ,, 26.34 , 16.79 , 6.84 , 3.45 , 2.24 , 1.08 ," 26,271 ",
1~未滿3年," 1,420 ", 100.00 , 8.62 , 1.32 , 22.26 ,, 28.73 , 19.23 , 7.83 , 6.15 , 3.43 , 2.44 ," 28,373 ",
3~未滿6年," 1,536 ", 100.00 , 6.21 , 1.03 , 17.44 ,, 27.09 , 23.34 , 10.36 , 7.13 , 2.24 , 5.15 ," 30,394 ",
6~未滿10年, 589 , 100.00 , 2.85 , 1.91 , 23.70 ,, 25.27 , 25.93 , 10.26 , 5.55 , 2.89 , 1.64 ," 29,214 ",
10年及以上, 108 , 100.00 , 4.82 , 0.22 , 28.24 ,, 23.06 , 24.80 , 12.53 , 5.45 , 0.39 , 0.49 ," 27,975 ",
勞工工作型態,,,,,,,,,,,,,,
全日工時," 3,696 ", 100.00 , 0.35 , 1.68 , 21.15 ,, 29.33 , 23.98 , 10.08 , 6.85 , 3.07 , 3.49 ," 30,306 ",
部分工時, 338 , 100.00 , 63.37 , 1.31 , 22.61 ,, 11.39 , 0.70 , 0.62 , - , - , - ," 18,163 ",
勞動契約性質,,,,,,,,,,,,,,
定期勞動契約, 734 , 100.00 , 12.78 , 4.52 , 25.10 , 24.90 , 24.90 , 19.50 , 6.22 , 4.99 , 0.80 , 1.19 ," 26,421 ",
不定期勞動契約," 3,300 ", 100.00 , 6.45 , 1.05 , 20.55 , 27.78 , 27.78 , 21.71 , 9.57 , 6.29 , 3.12 , 3.48 ," 29,433 ",
勞工工作性質,,,,,,,,,,,,,,
一般僱用," 3,938 ", 100.00 , 7.04 , 1.55 , 21.27 ,, 27.43 , 21.65 , 9.16 , 6.10 , 2.78 , 3.02 ," 28,976 ",
承攬, 28 , 100.00 , 33.83 , - , 12.31 ,, 14.78 , 15.17 , 5.10 , 3.61 , 2.67 , 12.53 ," 31,091 ",
派遣人力, 68 , 100.00 , 19.67 , 7.16 , 28.35 ,, 25.90 , 7.51 , 3.10 , 5.74 , - , 2.58 ," 25,201 ",
