"表05 青年勞工現職工作
",,,,,,,,"平均每月薪資
公共行政及國防;強制性社會安全, 145 , 100.00 , 0.14 , 22.60 , 13.75 , 12.65 ,, 35.24 , 9.75 , 3.63 , 1.31 , 0.93 ," 28,033 "
教育服務業, 153 , 100.00 , 3.59 , 4.45 , 19.74 , 24.80 ,, 25.26 , 16.42 , 3.45 , 0.88 , 1.41 ," 28,616 "
醫療保健及社會工作服務業, 258 , 100.00 , 5.42 , 7.24 , 16.31 , 21.87 ,, 20.21 , 10.68 , 10.27 , 3.74 , 4.26 ," 29,869 "
藝術、娛樂及休閒服務業, 71 , 100.00 , 12.99 , 9.98 , 38.61 , 24.33 ,, 7.60 , 3.50 , - , - , 2.99 ," 23,139 "
其他服務業, 115 , 100.00 , 6.40 , 14.49 , 34.11 , 21.65 ,, 14.05 , 4.52 , 3.21 , - , 1.57 ," 24,596 "
說明：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,,,
"表05 青年勞工現職工作
",,,,,,,,"平均每月薪資（續完）
",,,,,
,,,,,, 中華民國 ,, 101年10月 ,,,, 單位：人，％，元 ,
項目別,樣本數,合計,"未滿18,780元","18,780~未滿
2萬元","2萬~未滿
2萬5千元","2萬5千~
未滿3萬元",,"3萬~未滿
3萬5千元","3萬5千元~
未滿4萬元","4萬~未滿
4萬5千元","4萬5千元~
未滿5萬元","5萬元
及以上",平均每月薪資
,,,,,,,,,,,,,
總計," 4,064 ", 100.00 , 7.92 , 7.00 , 23.50 , 25.41 ,, 18.20 , 7.66 , 5.28 , 1.97 , 3.05 ," 27,425 "
職業,,,,,,,,,,,,,
民意代表、主管及經理人員, 35 , 100.00 , - , - , - , 14.44 ,, 17.91 , 21.36 , 19.94 , 10.35 , 16.00 ," 41,238 "
專業人員, 664 , 100.00 , 1.87 , 1.03 , 7.05 , 17.57 ,, 23.09 , 16.09 , 15.19 , 6.70 , 11.42 ," 35,798 "
技術員及助理專業人員, 879 , 100.00 , 1.16 , 5.62 , 20.40 , 31.43 ,, 22.75 , 9.20 , 4.99 , 2.24 , 2.22 ," 28,740 "
事務支援人員," 1,170 ", 100.00 , 2.98 , 8.86 , 31.54 , 30.51 ,, 16.66 , 6.09 , 2.54 , 0.30 , 0.54 ," 25,914 "
服務及銷售工作人員, 659 , 100.00 , 23.47 , 8.07 , 25.20 , 20.62 ,, 13.74 , 4.33 , 2.10 , 0.90 , 1.56 ," 23,227 "
農林漁牧業生產人員, 25 , 100.00 , - , 11.23 , 40.25 , 18.37 ,, 6.47 , 23.68 , - , - , - ," 25,470 "
技藝有關工作人員, 176 , 100.00 , 1.55 , 14.52 , 30.71 , 22.78 ,, 19.75 , 4.32 , 6.03 , - , 0.34 ," 25,815 "
機械設備操作及組裝人員, 205 , 100.00 , 2.53 , 6.30 , 31.42 , 31.77 ,, 17.56 , 4.62 , 2.61 , 1.11 , 2.08 ," 26,712 "
基層技術工及勞力工, 251 , 100.00 , 20.32 , 11.60 , 30.94 , 22.30 ,, 11.47 , 1.79 , 1.55 , 0.05 , - ," 21,890 "
工作地區,,,,,,,,,,,,,
北部地區," 1,748 ", 100.00 , 8.64 , 4.56 , 19.25 , 25.75 ,, 19.58 , 8.91 , 6.40 , 2.70 , 4.22 ," 28,559 "
中部地區," 1,041 ", 100.00 , 5.98 , 9.92 , 28.32 , 24.97 ,, 17.41 , 6.72 , 3.80 , 1.37 , 1.53 ," 26,304 "
南部地區, 938 , 100.00 , 7.56 , 10.86 , 30.73 , 25.38 ,, 14.99 , 4.94 , 3.69 , 0.50 , 1.35 ," 25,382 "
東部地區, 337 , 100.00 , 13.45 , 13.75 , 30.37 , 15.74 ,, 16.33 , 6.72 , 2.13 , 1.00 , 0.51 ," 24,313 "
規模,,,,,,,,,,,,,
29人以下," 1,297 ", 100.00 , 7.29 , 9.33 , 29.29 , 26.89 ,, 17.62 , 4.58 , 2.96 , 1.13 , 0.91 ," 25,552 "
30-49人, 529 , 100.00 , 8.08 , 8.82 , 21.31 , 29.34 ,, 19.44 , 6.24 , 3.85 , 1.27 , 1.65 ," 26,364 "
50-199人, 861 , 100.00 , 7.80 , 5.85 , 26.83 , 26.71 ,, 15.74 , 8.89 , 4.21 , 1.20 , 2.77 ," 26,845 "
200-499人, 586 , 100.00 , 4.73 , 7.36 , 24.33 , 26.35 ,, 22.01 , 7.66 , 4.80 , 0.77 , 1.98 ," 27,372 "
500人以上, 791 , 100.00 , 9.92 , 4.16 , 14.44 , 21.32 ,, 18.69 , 11.17 , 9.44 , 4.15 , 6.72 ," 30,449 "
總工作年資,,,,,,,,,,,,,
未滿1年, 467 , 100.00 , 19.12 , 9.36 , 25.42 , 24.28 ,, 11.40 , 4.91 , 2.44 , 0.81 , 2.24 ," 23,974 "
