"類型 Class","觀光遊憩區","縣市別","1月 Jan.","2月 Feb.","3月 Mar.","4月 Apr.","5月 May","6月 Jun.","7月 Jul.","8月 Aug.","9月 Sep.","10月 Oct.","11月 Nov.","12月 Dec.","合計",,,,,,,,
,"明池森林遊樂區
Mingchih Forest Recreation Area",宜蘭縣 Yilan County,"5,214 ","12,422 ","6,814 ","6,599 ","6,398 ","11,949 ","17,178 ","16,367 ","8,826 ","10,344 ","20,803 ","13,338 ","136,252 ",,,,,,,,
,"富源國家森林遊樂區◎
Fuyuan National Forest Recreation Area",花蓮縣 Hualien County,"3,175 ","9,670 ","4,577 ","5,302 ","3,180 ","5,136 ","6,089 ","5,566 ","3,555 ","4,145 ","4,447 ","3,819 ","58,661 ",,,,,,,,
,"池南國家森林遊樂區◎
Chihnan National Forest Recreation Area",花蓮縣 Hualien County,"1,092 ","5,200 ","2,736 ","4,855 ","2,770 ","2,191 ","3,656 ","3,793 ","2,183 ","2,765 ","3,621 ","2,118 ","36,980 ",,,,,,,,
,"知本國家森林遊樂區
Jhihben National Forest Recreation Area",臺東縣 Taitung County,"7,953 ","15,980 ","6,861 ","8,294 ","6,861 ","6,268 ","7,929 ","6,892 ","3,472 ","6,495 ","7,115 ","6,172 ","90,292 ",,,,,,,,
海水浴場,"福隆蔚藍海岸◎
Fulong Beach",新北市 New Taipei City,"1,299 ","2,636 ","3,432 ","3,904 ","163,208 ","324,231 ","557,220 ","19,266 ","6,126 ","3,123 ","1,404 ",549 ,"1,086,398 ",,,,,,,,
,"翡翠灣濱海遊樂區◎
Green Bay",新北市 New Taipei City,"9,787 ","7,952 ","10,522 ","11,004 ","9,161 ","16,647 ","17,830 ","20,244 ","12,204 ","9,106 ","8,325 ","8,161 ","140,943 ",,,,,,,,
,"墾丁海水浴場 
Kenting Beach",屏東縣 Pingtung County,"13,711 ","21,715 ","25,219 ","21,136 ","24,701 ","25,795 ","26,339 ","26,339 ","22,749 ","22,932 ","20,945 ","21,583 ","273,164 ",,,,,,,,
Beach,"頭城海水浴場 
Toucheng Beach",宜蘭縣 Yilan County,"8,735 ","9,657 ","10,019 ","10,378 ","9,629 ","10,155 ","9,227 ","9,329 ","9,139 ","9,839 ","20,223 ","20,571 ","136,901 ",,,,,,,,
,"磯崎海水浴場◎
Jici Beach",花蓮縣 Hualien County,0 ,"8,356 ","1,109 ","1,568 ",667 ,848 ,"3,623 ","3,804 ","1,030 ",107 ,0 ,0 ,"21,112 ",,,,,,,,
,"陽明海洋文化藝術館
Yangming Oceanic Culture and Art Museum",基隆市 Keelung City,"3,695 ","3,384 ","2,827 ","10,195 ","3,528 ","3,868 ","6,268 ","5,708 ","2,247 ","2,931 ","2,424 ","8,877 ","55,952 ",,,,,,,,
