"類型 Class","觀光遊憩區","縣市別","1月 Jan.","2月 Feb.","3月 Mar.","4月 Apr.","5月 May","6月 Jun.","7月 Jul.","8月 Aug.","9月 Sep.","10月 Oct.","11月 Nov.","12月 Dec.","合計",,,,,,,,
"東北角暨宜蘭海岸國家風景區
Northeast and Yilan Coast National Scenic Area","鼻頭港服務區 Bitou Harbor Service Area",新北市 New Taipei City,"11,750 ","10,800 ","9,450 ","11,200 ","11,900 ","11,650 ","12,000 ","13,910 ","13,950 ","9,805 ","12,230 ","9,965 ","138,610 ",,,,,,,,
,"龍洞灣公園
Longdongwan Coast Park",新北市 New Taipei City,"1,624 ","1,902 ","1,975 ","1,956 ","2,523 ","8,128 ","10,166 ","9,027 ","5,028 ","2,568 ","2,157 ","2,002 ","49,056 ",,,,,,,,
,"龍洞南口海洋公園
Longdong South Ocean Park",新北市 New Taipei City,"1,018 ",426 ,"1,226 ",604 ,"1,246 ","7,110 ","12,020 ","8,855 ","2,560 ","1,536 ",761 ,363 ,"37,725 ",,,,,,,,
,"福隆遊客服務中心
Fulong Visitor Center",新北市 New Taipei City,"27,729 ","87,166 ","71,702 ","79,192 ","354,736 ","170,857 ","138,988 ","66,391 ","73,837 ","55,790 ","49,422 ","52,999 ","1,228,809 ",,,,,,,,
國家風景區,"龍門露營區
Longmen Camp Site",新北市 New Taipei City,"1,110 ","1,433 ","3,357 ","5,098 ","5,503 ","5,783 ","6,203 ","5,511 ","4,846 ","9,768 ","5,639 ","3,106 ","57,357 ",,,,,,,,
,"鹽寮海濱公園
Yanliao Beach Park",新北市 New Taipei City,143 ,223 ,229 ,143 ,356 ,"1,162 ",754 ,702 ,246 ,346 ,142 ,102 ,"4,548 ",,,,,,,,
,"福隆蔚藍海岸◎
Fulong Beach",新北市 New Taipei City,"1,299 ","2,636 ","3,432 ","3,904 ","163,208 ","324,231 ","557,220 ","19,266 ","6,126 ","3,123 ","1,404 ",549 ,"1,086,398 ",,,,,,,,
,"鼻頭角步道
Bitou Cape Trail",新北市 New Taipei City,"2,760 ","3,550 ","2,800 ","11,200 ","6,260 ","6,725 ","7,730 ","5,875 ","5,890 ","7,545 ","3,840 ","4,231 ","68,406 ",,,,,,,,
,"舊草嶺隧道
The old Caoling Tunnel",新北市 New Taipei City,"8,026 ","9,189 ","8,607 ","9,262 ","19,256 ","29,219 ","20,906 ","21,181 ","20,342 ","20,039 ","16,581 ","9,651 ","192,259 ",,,,,,,,
National Scenic Areas,"草嶺古道系統(含遠望坑親水公園)
Caoling Historic Trail System (including Yuanwangkeng Riverside Park)",新北市 New Taipei City                        宜蘭縣 Yilan County,"12,127 ","17,008 ","12,565 ","20,157 ","24,395 ","26,685 ","28,378 ","20,577 ","22,770 ","31,236 ","114,591 ","23,492 ","353,981 ",,,,,,,,
,"大里遊客服務中心
Dali Visitor Center",宜蘭縣 Yilan County,"29,091 ","42,602 ","19,143 ","26,275 ","9,334 ","7,302 ","1,436 ","1,925 ","13,943 ","23,014 ","44,864 ","30,098 ","249,027 ",,,,,,,,
,"龜山島海域遊憩區
Turtle Island Coast Recreation Area",宜蘭縣 Yilan County,0 ,0 ,"3,618 ","9,666 ","18,325 ","23,359 ","39,579 ","18,468 ","9,462 ","5,963 ","2,329 ",0 ,"130,769 ",,,,,,,,
,"石城服務區
Shihcheng Service Area",宜蘭縣 Yilan County,"3,554 ","4,312 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,866 ",,,,,,,,
,"北關海潮公園
Beiguan Tidal Park",宜蘭縣 Yilan County,"16,025 ","14,599 ","13,359 ","13,799 ","15,233 ","16,225 ","25,687 ","18,987 ","15,945 ","14,665 ","13,698 ","15,459 ","193,681 ",,,,,,,,
,"外澳濱海遊憩區
Waiao Ocean Recreational Area",宜蘭縣 Yilan County,"12,531 ","30,772 ","8,031 ","13,329 ","19,888 ","24,898 ","53,012 ","30,566 ","24,949 ","25,445 ","12,989 ","11,755 ","268,165 ",,,,,,,,
,"南方澳遊客中心
Nanfangao Visitor Center",宜蘭縣 Yilan County,"21,526 ","27,761 ","16,008 ","16,172 ","16,281 ","23,199 ","24,932 ","19,034 ","18,805 ","28,890 ","20,640 ","21,698 ","254,946 ",,,,,,,,
,"東部海岸國家風景區
East Coast National Scenic Area ",,,,,,,,,,,,,,,,,,,,,,
,"秀姑巒溪泛舟
Siouguluan River",花蓮縣 Hualien County,"23,338 ","20,628 ","22,421 ","22,461 ","25,745 ","29,345 ","43,846 ","32,637 ","15,036 ","18,112 ","14,960 ","17,073 ","285,602 ",,,,,,,,
,"石梯坪
Shihtiping",花蓮縣 Hualien County,"42,817 ","135,557 ","129,744 ","157,176 ","86,206 ","119,463 ","114,034 ","173,733 ","164,826 ","134,561 ","180,777 ","180,354 ","1,619,248 ",,,,,,,,
,"磯崎海水浴場◎
Jici Beach",花蓮縣 Hualien County,0 ,"8,356 ","1,109 ","1,568 ",667 ,848 ,"3,623 ","3,804 ","1,030 ",107 ,0 ,0 ,"21,112 ",,,,,,,,
,"花蓮管理站遊客中心
Hualien Ranger Station Visitor Center",花蓮縣 Hualien County,"3,910 ","6,227 ","3,651 ","3,856 ","4,585 ","5,778 ","6,081 ","5,121 ","4,224 ","4,497 ","3,979 ","3,540 ","55,449 ",,,,,,,,
,"花蓮海洋公園◎
Hualien Ocean Park",花蓮縣 Hualien County,"16,831 ","64,915 ","24,570 ","38,110 ","27,150 ","47,930 ","85,404 ","84,076 ","36,674 ","48,210 ","35,710 ","25,586 ","535,166 ",,,,,,,,
,"小野柳(加路蘭)
Jialulan",臺東縣 Taitung County,"11,946 ","30,476 ","15,492 ","24,431 ","17,479 ","18,278 ","27,800 ","25,745 ","14,412 ","20,851 ","18,252 ","15,091 ","240,253 ",,,,,,,,
國家風景區,"三仙臺
Sansiantai",臺東縣 Taitung County,"39,428 ","75,932 ","57,752 ","70,801 ","55,161 ","51,975 ","72,764 ","67,471 ","47,920 ","61,439 ","60,348 ","54,026 ","715,017 ",,,,,,,,
,"八仙洞
Basian Cave",臺東縣 Taitung County,"4,054 ","45,457 ","5,778 ","7,790 ","5,919 ","7,354 ","10,474 ","10,446 ","6,034 ","7,640 ","6,975 ","6,041 ","123,962 ",,,,,,,,
,"綠島
Lyudao ( Green Island )",臺東縣 Taitung County,"5,615 ","16,406 ","11,160 ","32,678 ","33,999 ","46,135 ","69,856 ","51,699 ","32,166 ","22,393 ","9,015 ","6,274 ","337,396 ",,,,,,,,
,"都歷處本部
East Coast National Scenic Area Administration Headquarters",臺東縣 Taitung County,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"8,287 ","8,287 ",,,,,,,,
,"澎湖國家風景區
Penghu National Scenic Area",,,,,,,,,,,,,,,,,,,,,,
National Scenic Areas,"澎湖遊客中心
Penghu Visitor Center",澎湖縣 Penghu County,"1,462 ","1,692 ","4,315 ","16,928 ","24,397 ","24,348 ","27,024 ","19,653 ","15,932 ","7,161 ","2,767 ","2,323 ","148,002 ",,,,,,,,
,"南海遊客中心
South Sea Visitor Center",澎湖縣 Penghu County,"6,827 ","7,188 ","12,081 ","46,242 ","69,604 ","75,042 ","79,350 ","55,929 ","41,836 ","15,148 ","6,711 ","5,915 ","421,873 ",,,,,,,,
,"北海遊客中心
North Sea Visitor Center",澎湖縣 Penghu County,"4,143 ","4,837 ","7,285 ","26,556 ","48,752 ","60,942 ","72,544 ","51,306 ","31,751 ","6,224 ","2,195 ","1,878 ","318,413 ",,,,,,,,
,"吉貝遊客中心
Jibei Visitor Center",澎湖縣 Penghu County,"1,991 ","2,175 ","3,762 ","27,084 ","49,514 ","63,824 ","75,737 ","53,218 ","31,075 ","7,067 ","2,480 ","1,977 ","319,904 ",,,,,,,,
,"澎湖水族館
Penghu Aquarium",澎湖縣 Penghu County,763 ,"3,413 ","3,603 ","12,896 ","16,152 ","18,074 ","25,497 ","18,818 ","10,787 ","4,995 ","2,796 ",809 ,"118,603 ",,,,,,,,
,"西嶼西臺
Siyu Western Fort",澎湖縣 Penghu County,684 ,456 ,"2,039 ","10,186 ","15,203 ","15,895 ","19,253 ","13,158 ","8,521 ","3,537 ","1,377 ",798 ,"91,107 ",,,,,,,,
,小門地質展示中心                                                                                 Siaomen Geology Gallery,澎湖縣 Penghu County,"3,420 ","5,893 ","7,631 ","19,216 ","33,920 ","31,399 ","40,101 ","31,694 ","22,995 ","11,186 ","3,225 ","1,798 ","212,478 ",,,,,,,,
,"綠蠵龜觀光保育中心 
Green Turtle Tourism and Conservation Center",澎湖縣 Penghu County,0 ,132 ,"1,619 ","25,624 ","44,660 ","45,237 ","58,341 ","42,185 ","22,688 ","4,218 ",396 ,0 ,"245,100 ",,,,,,,,
,"七美人塚◎
Seven Beauties Tomb",澎湖縣 Penghu County,0 ,0 ,0 ,"5,048 ","7,033 ","4,788 ","4,394 ","2,329 ","1,967 ",106 ,106 ,0 ,"25,771 ",,,,,,,,
,"大鵬灣國家風景區
Dapeng Bay National Scenic Area",,,,,,,,,,,,,,,,,,,,,,
,"琉球風景區
Liouciou Scenic Area",屏東縣 Pingtung County,"9,258 ","29,806 ","17,576 ","39,396 ","27,342 ","44,724 ","54,000 ","49,668 ","32,568 ","36,301 ","25,657 ","12,495 ","378,791 ",,,,,,,,
,"大鵬營區
Dapeng Camp",屏東縣 Pingtung County,"3,487 ","22,558 ","1,631 ","7,000 ","8,366 ","26,824 ","33,366 ","11,629 ","10,482 ","20,479 ","30,638 ","28,863 ","205,323 ",,,,,,,,
,"花東縱谷國家風景區
East Rift Valley National Scenic Area ",,,,,,,,,,,,,,,,,,,,,,
,"鯉魚潭風景特定區
Liyu Lake Scenic Area",花蓮縣 Hualien County,"82,446 ","244,707 ","78,665 ","96,887 ","80,036 ","92,375 ","128,127 ","111,638 ","80,676 ","83,745 ","85,079 ","90,334 ","1,254,715 ",,,,,,,,
,池南國家森林遊樂區◎                                                                           Chihnan National Forest Recreation Area,花蓮縣 Hualien County,"1,092 ","5,200 ","2,736 ","4,855 ","2,770 ","2,191 ","3,656 ","3,793 ","2,183 ","2,765 ","3,621 ","2,118 ","36,980 ",,,,,,,,
,"新光兆豐休閒農場
Jhaofong Leisure Farm",花蓮縣 Hualien County,"11,849 ","37,676 ","14,338 ","19,828 ","15,515 ","17,170 ","27,525 ","24,997 ","12,443 ","15,700 ","14,415 ","11,318 ","222,774 ",,,,,,,,
,富源國家森林遊樂區◎                                                                          Fuyuan National Forest Recreation Area,花蓮縣 Hualien County,"3,175 ","9,670 ","4,577 ","5,302 ","3,180 ","5,136 ","6,089 ","5,566 ","3,555 ","4,145 ","4,447 ","3,819 ","58,661 ",,,,,,,,
,"花蓮觀光糖廠
Hualien Tourism Sugar Factory",花蓮縣 Hualien County,"22,873 ","86,261 ","37,877 ","42,604 ","77,219 ","60,044 ","90,647 ","101,308 ","50,251 ","42,730 ","35,357 ","26,211 ","673,382 ",,,,,,,,
,"立川漁場
Li Chuan Aquafarm",花蓮縣 Hualien County,"8,100 ","26,250 ","37,877 ","17,280 ","21,000 ","29,750 ","38,680 ","52,000 ","23,580 ","23,818 ","21,000 ","16,680 ","316,015 ",,,,,,,,
